degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
10.0,0.14285714285714285,2.0,1.0,1.0,0.45825756949558394,0.009245119134456447,0.14285714285714285,5.0,0.016806722689075633,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.01276875032355979,
11.0,0.2857142857142857,2.0,1.0,1.3,0.4453617714151233,0.44338472964252884,0.3022857142857143,14.450000000000001,0.27142857142857146,0.0,0.0,1.0,1.0,1.0,1.0,11.0,2.0,10.0,0.0,0.038461538461538464,0.0,0.0,1.0,0.0,-0.8450104414234108,
2.0,0.3142857142857143,2.0,1.0,1.2727272727272727,0.5,0.5477580136476158,0.32857142857142857,15.250000000000004,0.3100840336134454,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,11.0,0.0,0.034482758620689655,0.0,0.0,1.0,0.0,-1.8992192675855877,
1.0,0.05714285714285714,2.0,2.0,1.5,0.0,0.051112839842059436,0.17993197278911566,7.85,0.03697478991596639,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1077365489658115,
2.0,0.02857142857142857,11.0,10.0,2.0,0.5,0.03853997073819368,0.16428571428571428,6.859523809523809,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8087752191384651,
1.0,0.05714285714285714,10.0,10.0,1.0,0.0,0.00027479252619504684,0.05714285714285714,2.0,0.0016806722689075631,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2852169073129959,
1.0,0.05714285714285714,10.0,10.0,1.0,0.0,0.00027479252619504684,0.05714285714285714,2.0,0.0016806722689075631,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7100568581525394,
1.0,0.02857142857142857,10.0,10.0,5.0,0.0,0.004134463215409095,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7019826738206865,
1.0,0.02857142857142857,10.0,10.0,5.0,0.0,0.004134463215409095,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5395820922265773,
1.0,0.02857142857142857,10.0,10.0,5.0,0.0,0.004134463215409095,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07605847711746826,
1.0,0.02857142857142857,10.0,10.0,5.0,0.0,0.004134463215409095,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3158774871306595,
2.0,0.02857142857142857,10.0,1.0,5.0,4.5,0.004134463215409095,0.07936507936507936,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2234240169665458,
2.0,0.05714285714285714,11.0,10.0,10.5,0.5,0.2783239907809626,0.3148809523809524,11.916666666666666,0.10084033613445378,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.0,-1.963796384243666,
1.0,0.02857142857142857,10.0,10.0,10.0,0.0,0.12507358262803742,0.2099206349206349,8.783333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7911915154179483,
1.0,0.02857142857142857,11.0,11.0,10.0,0.0,0.12507358262803742,0.2099206349206349,8.783333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.531699743142964,
1.0,0.02857142857142857,11.0,11.0,10.0,0.0,0.12507358262803742,0.2099206349206349,8.783333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.02559607524176259,
1.0,0.02857142857142857,11.0,11.0,10.0,0.0,0.12507358262803742,0.2099206349206349,8.783333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2858885354957352,
1.0,0.02857142857142857,11.0,11.0,10.0,0.0,0.12507358262803742,0.2099206349206349,8.783333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0025090502239838576,
1.0,0.02857142857142857,11.0,11.0,10.0,0.0,0.12507358262803742,0.2099206349206349,8.783333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1221830444835295,
2.0,0.05714285714285714,11.0,2.0,5.5,4.5,0.13598297629757844,0.21591836734693878,9.45,0.03697478991596639,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8336031543213305,
1.0,0.05714285714285714,11.0,11.0,10.5,0.0,0.2783239907809626,0.3148809523809524,11.916666666666666,0.10084033613445378,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.0,-0.02212488725911885,
1.0,0.02857142857142857,11.0,11.0,10.0,0.0,0.12507358262803742,0.2099206349206349,8.783333333333331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.26617728457236006,
1.0,0.02857142857142857,11.0,11.0,11.0,0.0,0.15325042217223672,0.22226890756302523,9.116666666666669,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18659879047359,
1.0,0.02857142857142857,2.0,2.0,11.0,0.0,0.15325042217223672,0.22226890756302523,9.116666666666669,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.101100233387697,


