degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
28.0,0.9655172413793103,26.0,5.0,14.035714285714286,5.294755780535133,0.29347255923132765,0.9666666666666667,28.5,0.09066468903291564,0.0,9.0,6.0,8.0,0.0,0.0,204.0,10.0,68.0,0.4656084656084656,0.36009732360097324,0.06117075955366574,0.056389590036564276,176.0,10.0,0.722841014748874,
11.0,0.3793103448275862,28.0,12.0,19.0,5.410427642315095,0.1437138033247773,0.6170212765957447,20.0,0.005978675128921434,6.0,1.0,0.0,1.0,1.0,1.0,47.0,7.0,8.0,0.6545454545454545,0.4825174825174825,0.026204992868369987,0.02750106599196128,36.0,10.0,-0.6763404587503727,
9.0,0.3103448275862069,28.0,13.0,21.11111111111111,4.331908597692873,0.1323999393710534,0.5918367346938775,19.0,0.00022391401701746532,7.0,0.0,0.0,2.0,1.0,1.0,44.0,9.0,2.0,0.9722222222222222,0.5986078886310905,0.022005251810516248,0.025389694579739375,35.0,9.0,-1.7264430007085678,
7.0,0.24137931034482757,28.0,13.0,19.428571428571427,5.576920370269467,0.09435027340470098,0.5686274509803921,18.0,0.001420992800303145,4.0,0.0,0.0,0.0,1.0,1.0,23.0,6.0,3.0,0.7619047619047619,0.5020242914979757,0.01842589479993003,0.01808829398264101,16.0,7.0,1.3347472571864551,
9.0,0.3103448275862069,28.0,12.0,19.22222222222222,5.632796380282922,0.11933192132532142,0.5918367346938775,19.0,0.0020840270840270844,6.0,1.0,0.0,1.0,1.0,1.0,36.0,6.0,7.0,0.75,0.48699763593380613,0.022277260376039356,0.022847103395630678,27.0,9.0,0.09222139060309541,
13.0,0.4482758620689655,28.0,12.0,19.153846153846153,4.753074371007818,0.17437710475664459,0.6444444444444445,21.0,0.005234472014028665,6.0,1.0,0.0,1.0,1.0,1.0,70.0,9.0,9.0,0.7307692307692307,0.5091615769017213,0.0298604793826294,0.0334148171124363,57.0,10.0,-1.3020106307750978,
9.0,0.3103448275862069,28.0,13.0,18.88888888888889,5.645931562627779,0.1169629534216536,0.5918367346938775,19.0,0.003430720210276861,5.0,3.0,0.0,1.0,1.0,1.0,33.0,6.0,7.0,0.6666666666666666,0.48325358851674644,0.022383993663346632,0.02237756520302769,24.0,9.0,0.28046009306633535,
7.0,0.24137931034482757,28.0,13.0,20.571428571428573,5.314592925068078,0.09678373226763382,0.5686274509803921,18.0,0.001087059492231906,5.0,1.0,0.0,1.0,1.0,1.0,23.0,5.0,6.0,0.7619047619047619,0.5399610136452242,0.01842366323534942,0.018494463928149595,16.0,7.0,0.5990936431041703,
5.0,0.1724137931034483,28.0,13.0,20.4,5.607138307550474,0.06820348882002616,0.5471698113207547,17.0,0.0006683929097722201,1.0,1.0,0.0,1.0,1.0,1.0,12.0,4.0,3.0,0.7,0.5080645161290323,0.014640774885336084,0.013033527312352657,7.0,5.0,0.41596982898644297,
9.0,0.3103448275862069,28.0,13.0,19.88888888888889,4.863570806275398,0.12437081494256036,0.5918367346938775,19.0,0.0023180978846003477,2.0,6.0,0.0,2.0,1.0,1.0,37.0,8.0,3.0,0.7777777777777778,0.5395513577331759,0.022182563465130187,0.023833774211114093,28.0,9.0,-0.45716979188008805,
11.0,0.3793103448275862,28.0,13.0,18.90909090909091,5.160242162297592,0.14356547411846776,0.6170212765957447,20.0,0.003548175961969066,4.0,4.0,0.0,2.0,1.0,1.0,53.0,8.0,7.0,0.7636363636363637,0.4711388455538221,0.026176794757967987,0.027481063185022404,42.0,10.0,-0.6827736593414561,
13.0,0.4482758620689655,28.0,12.0,19.46153846153846,4.601260439611748,0.1775156647742081,0.6444444444444445,21.0,0.0041847417771063095,9.0,8.0,0.0,2.0,1.0,1.0,74.0,10.0,7.0,0.782051282051282,0.5254424778761062,0.02977804994153205,0.03403007545912474,61.0,10.0,-0.787320579116063,
10.0,0.3448275862068966,28.0,13.0,20.5,4.318564576337836,0.14191020616399933,0.6041666666666666,19.5,0.0018768006760617598,4.0,4.0,0.0,2.0,1.0,1.0,48.0,9.0,4.0,0.8444444444444444,0.5531914893617021,0.024002642861282248,0.027194212240279576,38.0,9.0,1.6019400607116465,
26.0,0.896551724137931,28.0,7.0,14.538461538461538,5.350993935211902,0.2804754812407872,0.90625,27.5,0.06585868633282425,1.0,7.0,8.0,10.0,2.0,2.0,188.0,10.0,56.0,0.49846153846153846,0.3726315789473684,0.05673220461105978,0.0538767051222305,162.0,10.0,0.3721622001360406,
24.0,0.8275862068965517,28.0,5.0,14.666666666666666,5.7130455003342036,0.2605047808550575,0.8529411764705882,26.5,0.0581681454834164,2.0,6.0,2.0,5.0,3.0,3.0,162.0,10.0,39.0,0.5,0.37573348476244556,0.052938440937520204,0.05003015380173078,138.0,10.0,0.6258606277110381,
22.0,0.7586206896551724,28.0,5.0,15.0,6.007570980929738,0.24464860367043517,0.8055555555555556,25.5,0.04657981249730018,3.0,5.0,3.0,3.0,5.0,4.0,145.0,10.0,28.0,0.5324675324675324,0.39381720430107525,0.048795327874776084,0.0470147308237449,123.0,10.0,-0.07466877823692997,
21.0,0.7241379310344828,28.0,7.0,15.571428571428571,5.851914042361155,0.24044594282499912,0.7837837837837838,25.0,0.034986814635829415,4.0,4.0,1.0,0.0,4.0,5.0,136.0,10.0,25.0,0.5476190476190477,0.41077844311377243,0.046403988285261794,0.04619647276305375,115.0,10.0,0.9414721571389223,
20.0,0.6896551724137931,28.0,9.0,16.0,5.70087712549569,0.23498355857525322,0.7631578947368421,24.5,0.025312450959002683,5.0,3.0,5.0,6.0,7.0,6.0,137.0,10.0,30.0,0.6157894736842106,0.42232630757220924,0.0441283488746763,0.04514265595640329,117.0,10.0,-1.2831266900644829,
17.0,0.5862068965517241,28.0,7.0,16.41176470588235,6.240841039941103,0.20476739446095665,0.7073170731707317,23.0,0.01733965268448027,8.0,2.0,7.0,4.0,6.0,7.0,105.0,10.0,12.0,0.6470588235294118,0.4456443484521238,0.03827758354062197,0.039352662875231405,88.0,10.0,1.457656928117706,
19.0,0.6551724137931034,28.0,9.0,16.526315789473685,5.575967426589065,0.2270855657639324,0.7435897435897436,24.0,0.02174057811373082,6.0,1.0,4.0,1.0,8.0,8.0,127.0,10.0,23.0,0.631578947368421,0.4205242610150586,0.04208195236617067,0.04357761085948946,108.0,10.0,-2.067603606606468,
17.0,0.5862068965517241,28.0,7.0,15.823529411764707,6.070519835455968,0.19584829479460658,0.7073170731707317,23.0,0.023524265827221495,2.0,2.0,2.0,4.0,3.0,3.0,92.0,9.0,16.0,0.5514705882352942,0.40805223068552776,0.03860092159769131,0.03760171001984967,75.0,10.0,-0.37616186136043217,
19.0,0.6551724137931034,28.0,10.0,16.894736842105264,5.16969648749839,0.23245981236934937,0.7435897435897436,24.0,0.017585257517523524,7.0,0.0,9.0,7.0,9.0,9.0,132.0,10.0,27.0,0.6608187134502924,0.4388290527478597,0.041806765976043395,0.044622733549304294,113.0,10.0,0.5716269016266674,
13.0,0.4482758620689655,28.0,9.0,17.384615384615383,6.220789728970994,0.1631212826662592,0.6444444444444445,21.0,0.008780183964913027,4.0,2.0,1.0,0.0,4.0,5.0,64.0,9.0,6.0,0.6538461538461539,0.4694610778443114,0.030235636707612923,0.03133110998647651,51.0,10.0,1.2982666616790963,
13.0,0.4482758620689655,28.0,7.0,18.0,6.348833932911799,0.1663415312322251,0.6444444444444445,21.0,0.008030676903829614,6.0,1.0,4.0,9.0,8.0,8.0,69.0,9.0,8.0,0.717948717948718,0.4682080924855491,0.030334516169857183,0.03190783041416756,56.0,10.0,1.621553710283779,
15.0,0.5172413793103449,28.0,7.0,15.2,6.263119563497624,0.16587934602415919,0.6744186046511628,22.0,0.019505798662202603,3.0,0.0,1.0,0.0,4.0,4.0,70.0,6.0,19.0,0.5238095238095238,0.38811019816336395,0.03477024219688361,0.031832613998965066,55.0,10.0,-0.06770053711014738,
15.0,0.5172413793103449,28.0,5.0,16.333333333333332,6.117370531709046,0.17505211013028493,0.6744186046511628,22.0,0.01643996397690979,5.0,2.0,3.0,6.0,5.0,6.0,78.0,8.0,15.0,0.6,0.40444847934634587,0.034677469348606535,0.033557711000336235,63.0,10.0,1.3584536145143238,
13.0,0.4482758620689655,26.0,5.0,13.615384615384615,6.1461490324425165,0.13161314966802037,0.6444444444444445,21.0,0.019268023301274525,0.0,0.0,1.0,0.0,0.0,0.0,48.0,7.0,11.0,0.44871794871794873,0.36546762589928056,0.031487250687931734,0.025267654751369092,35.0,9.0,1.5374949134411489,
14.0,0.48275862068965514,28.0,9.0,17.428571428571427,5.564097741185842,0.1719522446882804,0.6590909090909091,21.5,0.010898580756955142,3.0,3.0,5.0,3.0,7.0,4.0,74.0,8.0,13.0,0.6593406593406593,0.4314214463840399,0.03222251407236042,0.032941348322308765,60.0,10.0,0.17561587561539538,
13.0,0.4482758620689655,28.0,7.0,15.76923076923077,5.60430941541138,0.1482733141448131,0.6444444444444445,21.0,0.012796207623793831,1.0,6.0,2.0,4.0,2.0,2.0,57.0,7.0,12.0,0.5641025641025641,0.40253164556962023,0.030614928546234318,0.028436917900863282,44.0,10.0,1.8066101731886381,
12.0,0.41379310344827586,28.0,9.0,16.166666666666668,5.096294950473552,0.1417575775604055,0.6304347826086957,20.5,0.007409954577442263,2.0,4.0,4.0,5.0,3.0,3.0,53.0,7.0,12.0,0.6212121212121212,0.44036009002250565,0.02835878660559639,0.027234131216431697,41.0,10.0,0.25630236321932204,


28.0,0.9655172413793103,26.0,5.0,14.035714285714286,5.294755780535133,0.29347255923132765,0.9666666666666667,28.5,0.09066468903291564,0.0,9.0,6.0,6.0,0.0,0.0,204.0,10.0,68.0,0.4656084656084656,0.36009732360097324,0.06117075955366574,0.05638959003656429,176.0,10.0,-1.066462985218344,
11.0,0.3793103448275862,28.0,12.0,19.0,5.410427642315095,0.1437138033247773,0.6170212765957447,20.0,0.005978675128921434,6.0,1.0,0.0,4.0,1.0,1.0,47.0,7.0,8.0,0.6545454545454545,0.4825174825174825,0.026204992868369987,0.027501065991961282,36.0,10.0,-0.9032789869591501,
9.0,0.3103448275862069,28.0,13.0,21.11111111111111,4.331908597692873,0.1323999393710534,0.5918367346938775,19.0,0.00022391401701746532,7.0,0.0,0.0,3.0,1.0,1.0,44.0,9.0,2.0,0.9722222222222222,0.5986078886310905,0.022005251810516248,0.02538969457973938,35.0,9.0,1.183679680015134,
7.0,0.24137931034482757,28.0,13.0,19.428571428571427,5.576920370269467,0.09435027340470098,0.5686274509803921,18.0,0.001420992800303145,4.0,0.0,0.0,3.0,1.0,1.0,23.0,6.0,3.0,0.7619047619047619,0.5020242914979757,0.01842589479993003,0.018088293982641012,16.0,7.0,-0.3317627120369661,
9.0,0.3103448275862069,28.0,12.0,19.22222222222222,5.632796380282922,0.11933192132532142,0.5918367346938775,19.0,0.0020840270840270844,6.0,1.0,0.0,4.0,1.0,1.0,36.0,6.0,7.0,0.75,0.48699763593380613,0.022277260376039356,0.02284710339563068,27.0,9.0,0.3063131540307647,
13.0,0.4482758620689655,28.0,12.0,19.153846153846153,4.753074371007818,0.17437710475664459,0.6444444444444445,21.0,0.005234472014028665,6.0,1.0,0.0,4.0,1.0,1.0,70.0,9.0,9.0,0.7307692307692307,0.5091615769017213,0.0298604793826294,0.03341481711243631,57.0,10.0,0.8039480920497606,
9.0,0.3103448275862069,28.0,13.0,18.88888888888889,5.645931562627779,0.1169629534216536,0.5918367346938775,19.0,0.003430720210276861,5.0,3.0,0.0,1.0,1.0,1.0,33.0,6.0,7.0,0.6666666666666666,0.48325358851674644,0.022383993663346632,0.022377565203027694,24.0,9.0,-0.26655647122612747,
7.0,0.24137931034482757,28.0,13.0,20.571428571428573,5.314592925068078,0.09678373226763382,0.5686274509803921,18.0,0.001087059492231906,5.0,1.0,0.0,1.0,1.0,1.0,23.0,5.0,6.0,0.7619047619047619,0.5399610136452242,0.01842366323534942,0.018494463928149595,16.0,7.0,0.6448419434647926,
5.0,0.1724137931034483,28.0,13.0,20.4,5.607138307550474,0.06820348882002616,0.5471698113207547,17.0,0.0006683929097722201,1.0,1.0,0.0,0.0,1.0,1.0,12.0,4.0,3.0,0.7,0.5080645161290323,0.014640774885336084,0.013033527312352657,7.0,5.0,-0.8503900182637444,
9.0,0.3103448275862069,28.0,13.0,19.88888888888889,4.863570806275398,0.12437081494256036,0.5918367346938775,19.0,0.0023180978846003477,2.0,6.0,0.0,2.0,1.0,1.0,37.0,8.0,3.0,0.7777777777777778,0.5395513577331759,0.022182563465130187,0.02383377421111409,28.0,9.0,-0.7025130761703042,
11.0,0.3793103448275862,28.0,13.0,18.90909090909091,5.160242162297592,0.14356547411846776,0.6170212765957447,20.0,0.003548175961969066,4.0,4.0,0.0,4.0,1.0,1.0,53.0,8.0,7.0,0.7636363636363637,0.4711388455538221,0.026176794757967987,0.027481063185022404,42.0,10.0,0.20103057708207328,
13.0,0.4482758620689655,28.0,12.0,19.46153846153846,4.601260439611748,0.1775156647742081,0.6444444444444445,21.0,0.0041847417771063095,9.0,8.0,0.0,4.0,1.0,1.0,74.0,10.0,7.0,0.782051282051282,0.5254424778761062,0.02977804994153205,0.03403007545912475,61.0,10.0,-0.9100790924023697,
