degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
20.0,0.6896551724137931,24.0,6.0,14.3,4.754997371187496,0.24017157353426505,0.7631578947368421,24.5,0.047178266451665465,3.0,7.0,4.0,2.0,0.0,0.0,114.0,8.0,36.0,0.49473684210526314,0.332420591456736,0.04638391537784381,0.04568001768236687,94.0,9.0,-0.561812160796644,
13.0,0.4482758620689655,24.0,11.0,16.384615384615383,4.377186689371321,0.17660204957134726,0.6444444444444445,21.0,0.009870903590115412,6.0,2.0,0.0,0.0,1.0,1.0,61.0,7.0,13.0,0.6153846153846154,0.4143646408839779,0.03118464827832858,0.03360482707123155,48.0,9.0,-0.9168482093428403,
14.0,0.48275862068965514,24.0,10.0,16.428571428571427,4.403152859263555,0.1892432519516677,0.6590909090909091,21.5,0.012003356523060955,6.0,6.0,0.0,0.0,1.0,1.0,69.0,8.0,14.0,0.6043956043956044,0.40155844155844156,0.033279097914614066,0.035977707237297436,55.0,9.0,0.8895556781258115,
11.0,0.3793103448275862,24.0,9.0,15.272727272727273,4.633689068136239,0.13644101160337416,0.6170212765957447,20.0,0.010703561627206946,7.0,3.0,0.0,1.0,1.0,1.0,39.0,5.0,13.0,0.509090909090909,0.3433895297249335,0.027511250651803622,0.025914876781659553,28.0,9.0,0.2738048518246869,
15.0,0.5172413793103449,24.0,9.0,15.0,4.760952285695233,0.1854475097300244,0.6744186046511628,22.0,0.022894702451352698,2.0,1.0,0.0,4.0,1.0,1.0,68.0,7.0,15.0,0.5047619047619047,0.3508102955195424,0.035794185582586596,0.03523463782473664,53.0,9.0,-0.8152408238363513,
8.0,0.27586206896551724,24.0,9.0,17.875,4.807221130757353,0.11462747000148812,0.58,18.5,0.002935905091077505,4.0,0.0,0.0,0.0,1.0,1.0,26.0,5.0,5.0,0.6428571428571429,0.44976076555023925,0.021082729815711267,0.021772443100203806,18.0,8.0,1.4427423575424383,
6.0,0.20689655172413793,20.0,10.0,15.5,3.730504880933232,0.07601628965927881,0.5576923076923077,17.5,0.002911770768913626,1.0,1.0,0.0,0.0,1.0,1.0,13.0,4.0,4.0,0.4666666666666667,0.38943894389438943,0.017271437493837083,0.014444437521461998,7.0,6.0,2.1933447066559335,
12.0,0.41379310344827586,24.0,9.0,16.75,4.692636075100363,0.16372414166272828,0.6304347826086957,20.5,0.009565714799704948,5.0,0.0,0.0,4.0,1.0,1.0,52.0,7.0,9.0,0.6060606060606061,0.40774647887323945,0.029268575128271513,0.031121136902022367,40.0,9.0,-0.7621854045226513,
15.0,0.5172413793103449,24.0,9.0,15.4,4.882622246293481,0.1927853811072769,0.6744186046511628,22.0,0.019498228919411185,7.0,6.0,0.0,4.0,1.0,1.0,73.0,8.0,14.0,0.5523809523809524,0.3768939393939394,0.03559842353336774,0.036680659850069956,58.0,9.0,0.03219858644606193,
24.0,0.8275862068965517,23.0,8.0,14.041666666666666,3.8995637220363797,0.28557394820027554,0.8529411764705882,26.5,0.06241055058789048,0.0,5.0,5.0,3.0,2.0,2.0,157.0,8.0,60.0,0.48188405797101447,0.33122119815668205,0.05438787073086633,0.0543378497331941,133.0,9.0,-1.5102915372213426,
23.0,0.7931034482758621,24.0,8.0,14.478260869565217,3.921729490010324,0.27932379508401367,0.8285714285714286,26.0,0.048903737204229816,1.0,4.0,6.0,8.0,3.0,3.0,151.0,8.0,57.0,0.5059288537549407,0.3368635437881874,0.05215163987699818,0.053119562054862325,128.0,9.0,0.21805783838154058,
18.0,0.6206896551724138,24.0,6.0,14.944444444444445,4.824385075636552,0.224430655902417,0.725,23.5,0.03112380914105052,4.0,3.0,2.0,5.0,4.0,4.0,101.0,8.0,27.0,0.5424836601307189,0.3543593130779392,0.04202879969929657,0.04269626301477285,83.0,9.0,0.4370996873551893,
21.0,0.7241379310344828,24.0,8.0,14.714285714285714,4.210450232037256,0.2590629290308473,0.7837837837837838,25.0,0.04103247600784547,2.0,1.0,7.0,6.0,6.0,5.0,130.0,8.0,43.0,0.5190476190476191,0.3461258197716784,0.04802341644535525,0.04928115007290141,109.0,9.0,0.6429221924042429,
18.0,0.6206896551724138,24.0,6.0,15.777777777777779,4.275973645531969,0.23515285274974643,0.725,23.5,0.027053754947843615,5.0,0.0,8.0,1.0,5.0,6.0,106.0,8.0,28.0,0.5751633986928104,0.3770595690747782,0.04161031048611605,0.04472064201108865,88.0,9.0,-1.597209202264084,
17.0,0.5862068965517241,24.0,9.0,15.294117647058824,4.5213832589589735,0.21629531232863528,0.7073170731707317,23.0,0.024548706629987423,6.0,2.0,9.0,0.0,7.0,7.0,94.0,8.0,25.0,0.5661764705882353,0.3627737226277372,0.039631713590121256,0.04114347893062645,77.0,9.0,0.682637789561611,
16.0,0.5517241379310345,23.0,6.0,13.3125,4.713262537775718,0.17874648894081313,0.6904761904761905,22.5,0.03573685482552478,0.0,2.0,1.0,5.0,2.0,2.0,66.0,6.0,19.0,0.4166666666666667,0.3102340523175769,0.038523105339074576,0.033957560652715435,50.0,9.0,0.882702965528372,
14.0,0.48275862068965514,24.0,12.0,16.714285714285715,3.862430238455936,0.19489318747831563,0.6590909090909091,21.5,0.008637749770754696,8.0,3.0,1.0,5.0,4.0,4.0,76.0,8.0,15.0,0.6813186813186813,0.42351716961498437,0.033017653948073204,0.037092861379117215,62.0,9.0,-0.5238634289813837,
15.0,0.5172413793103449,24.0,10.0,15.533333333333333,4.2405450383438,0.19456067256951542,0.6744186046511628,22.0,0.015327980722069395,4.0,7.0,2.0,2.0,8.0,0.0,76.0,8.0,16.0,0.580952380952381,0.38272770174610665,0.03537962869854096,0.037007118064242374,61.0,9.0,-0.6075331142577465,
17.0,0.5862068965517241,24.0,8.0,14.411764705882353,4.666007532953397,0.20626632452846577,0.7073170731707317,23.0,0.02991725023744728,3.0,2.0,3.0,7.0,0.0,7.0,83.0,8.0,19.0,0.4852941176470588,0.3460949464012251,0.03995459621704685,0.03923829220624113,66.0,9.0,0.8529841524574147,
12.0,0.41379310344827586,24.0,9.0,15.416666666666666,4.071411166768702,0.15518865302920384,0.6304347826086957,20.5,0.008881833820257467,1.0,1.0,3.0,6.0,3.0,3.0,54.0,7.0,12.0,0.6363636363636364,0.3938697318007663,0.029361422434522645,0.02954696467752742,42.0,9.0,-0.6800547768625966,
13.0,0.4482758620689655,24.0,8.0,14.846153846153847,4.434933940122946,0.16247580179324947,0.6444444444444445,21.0,0.014346402092707511,1.0,4.0,1.0,2.0,3.0,0.0,53.0,7.0,11.0,0.5128205128205128,0.3711272247857614,0.03160150116813715,0.03092287544108461,40.0,9.0,2.156624671661649,
13.0,0.4482758620689655,23.0,10.0,14.23076923076923,3.4675162060260445,0.1542051979175829,0.6444444444444445,21.0,0.015237731617041962,5.0,0.0,4.0,3.0,6.0,5.0,51.0,6.0,13.0,0.48717948717948717,0.34143049932523617,0.03166048593501296,0.029297397794346102,38.0,9.0,1.4946187433611569,
10.0,0.3448275862068966,24.0,9.0,16.1,4.4147480109288235,0.13170126519149294,0.6041666666666666,19.5,0.007068513041419444,4.0,0.0,2.0,2.0,4.0,0.0,33.0,5.0,9.0,0.5111111111111111,0.4012806830309498,0.025275002978386866,0.025018141038571574,23.0,9.0,-0.5635681584836976,
10.0,0.3448275862068966,24.0,6.0,15.5,5.426785420486054,0.12594706651547546,0.5918367346938775,19.333333333333332,0.008546195184126219,3.0,7.0,2.0,1.0,0.0,4.0,36.0,6.0,8.0,0.5777777777777777,0.3723986856516977,0.0256218397440747,0.023907083224734976,26.0,9.0,-0.09557289294663307,
11.0,0.3793103448275862,24.0,6.0,15.909090909090908,5.177829405781142,0.1440832186598675,0.6170212765957447,20.0,0.009978568229799756,5.0,0.0,1.0,1.0,5.0,0.0,41.0,6.0,9.0,0.5454545454545454,0.3908450704225352,0.027514735409491342,0.027404348663799868,30.0,9.0,1.7680600957133878,
11.0,0.3793103448275862,24.0,9.0,15.909090909090908,4.541816726107926,0.1417809756048693,0.6170212765957447,20.0,0.00926384781064584,4.0,3.0,2.0,1.0,5.0,4.0,41.0,5.0,13.0,0.5454545454545454,0.36678200692041524,0.027365795010398073,0.026918880452087193,30.0,9.0,0.3316801516834063,
