degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
27.0,0.9310344827586207,23.0,6.0,14.25925925925926,4.749990975372266,0.2897112213055997,0.9354838709677419,28.0,0.07825321572242755,0.0,4.0,6.0,5.0,0.0,0.0,193.0,7.0,119.0,0.47293447293447294,0.34391375954484205,0.05819954874865754,0.05495973551799311,166.0,11.0,0.027474942817922194,
12.0,0.41379310344827586,27.0,12.0,18.333333333333332,4.696334267868457,0.15657402575644033,0.6304347826086957,20.5,0.0054439197912104316,5.0,6.0,0.0,0.0,1.0,1.0,57.0,7.0,15.0,0.6818181818181818,0.4556291390728477,0.027820433968142957,0.029632030010808674,45.0,11.0,1.8851236589969227,
8.0,0.27586206896551724,27.0,15.0,20.25,3.929058411375428,0.11366236953309802,0.58,18.5,0.0014054432157880434,6.0,6.0,0.0,6.0,1.0,1.0,30.0,7.0,3.0,0.7857142857142857,0.5183553597650514,0.020024805233843763,0.021499237073101328,22.0,8.0,0.6469757158258109,
8.0,0.27586206896551724,27.0,14.0,19.125,4.106016926414211,0.10755511772565157,0.58,18.5,0.001714391246410951,5.0,3.0,0.0,3.0,1.0,1.0,28.0,6.0,6.0,0.7142857142857143,0.4750378214826021,0.020135299231516808,0.02034164461426994,20.0,8.0,0.6686824217420951,
12.0,0.41379310344827586,27.0,13.0,19.333333333333332,4.068851871911234,0.16398853783002515,0.6304347826086957,20.5,0.003497361286770154,7.0,6.0,0.0,0.0,1.0,1.0,62.0,7.0,21.0,0.7575757575757576,0.47959183673469385,0.02763083234030859,0.031036332723525645,50.0,11.0,0.66212737642246,
6.0,0.20689655172413793,27.0,12.0,19.0,5.446711546122731,0.07946354711774468,0.5576923076923077,17.5,0.0010433771209633277,3.0,1.0,0.0,0.0,1.0,1.0,16.0,4.0,6.0,0.6666666666666666,0.48148148148148145,0.01646125273400864,0.015020933993407759,10.0,6.0,-0.32836279923248907,
13.0,0.4482758620689655,27.0,12.0,18.307692307692307,4.356862233386553,0.16902093119642447,0.6444444444444445,21.0,0.0072565126444436795,2.0,6.0,0.0,1.0,1.0,1.0,62.0,6.0,19.0,0.6282051282051282,0.4560716284275322,0.02971072975987559,0.03197708303185552,49.0,11.0,0.4935457413317761,
7.0,0.24137931034482757,27.0,16.0,21.0,3.4226138716316967,0.10212049043120963,0.5686274509803921,18.0,0.0009415768960103934,2.0,2.0,0.0,0.0,1.0,1.0,23.0,6.0,3.0,0.7619047619047619,0.5538461538461539,0.01810758128473429,0.019312435340769495,16.0,7.0,-0.13397633432975237,
14.0,0.48275862068965514,27.0,11.0,17.928571428571427,4.51132362132518,0.1792711924627095,0.6590909090909091,21.5,0.00891110463154798,5.0,3.0,0.0,7.0,1.0,1.0,71.0,6.0,22.0,0.6263736263736264,0.44239183276616434,0.03165286031211405,0.033923428805361255,57.0,11.0,0.5984610728423915,
14.0,0.48275862068965514,27.0,11.0,16.5,4.777177887773133,0.1669114377071345,0.6590909090909091,21.5,0.013342459401572701,5.0,6.0,0.0,6.0,1.0,1.0,63.0,7.0,18.0,0.5384615384615384,0.3978439425051335,0.03194160883715433,0.03159833041009039,49.0,11.0,1.0453758720821986,
