k , Test Accuracy
k , Test Accuracy
6,0.5
26,0.462
k , Test Accuracy
k , Test Accuracy
6,0.385
6,0.423
6,0.423
26,0.346
26,0.269
26,0.269
k , Test Accuracy
k , Test Accuracy
6,0.462
k , Test Accuracy
k , Test Accuracy
6,0.462
k , Test Accuracy
k , Test Accuracy
6,0.462
k , Test Accuracy
k , Test Accuracy
6,0.462
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
1,0.5
k , Test Accuracy
k , Test Accuracy
4,0.462
k , Test Accuracy
k , Test Accuracy
2,0.654
k , Test Accuracy
k , Test Accuracy
2,0.615
k , Test Accuracy
k , Test Accuracy
2,0.538
k , Test Accuracy
k , Test Accuracy
2,0.385
k , Test Accuracy
k , Test Accuracy
3,0.538
k , Test Accuracy
k , Test Accuracy
3,0.538
k , Test Accuracy
k , Test Accuracy
3,0.346
k , Test Accuracy
k , Test Accuracy
3,0.615
k , Test Accuracy
k , Test Accuracy
4,0.615
k , Test Accuracy
k , Test Accuracy
3,0.515
k , Test Accuracy
k , Test Accuracy
4,0.538
k , Test Accuracy
k , Test Accuracy
4,0.577
