k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.731
6,0.734
6,0.738
6,0.738
6,0.745
26,0.635
26,0.648
26,0.613
k , Test Accuracy
k , Test Accuracy
6,0.74
6,0.747
6,0.74
6,0.729
6,0.755
k , Test Accuracy
k , Test Accuracy
6,0.771
6,0.769
6,0.747
6,0.771
6,0.745
k , Test Accuracy
k , Test Accuracy
6,0.747
6,0.758
6,0.758
26,0.701
26,0.707
26,0.692
k , Test Accuracy
k , Test Accuracy
6,0.53
k , Test Accuracy
k , Test Accuracy
6,0.577
k , Test Accuracy
k , Test Accuracy
6,0.391
k , Test Accuracy
k , Test Accuracy
4,0.666
k , Test Accuracy
k , Test Accuracy
6,0.565
k , Test Accuracy
k , Test Accuracy
6,0.747
k , Test Accuracy
k , Test Accuracy
4,0.649
