degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72, Target 
44.0,0.16058394160583941,48.0,3.0,23.818181818181817,10.732856790064474,0.2104463831288963,0.3261904761904762,116.1166666666665,0.057015407898817295,2.0,8.0,9.0,1.0,0.0,0.0,465.0,11.0,278.0,0.4450317124735729,0.3492063492063492,0.01009766724367732,0.03036560679039412,421.0,17.0,0.2769857487771197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19.0,0.06934306569343066,48.0,3.0,28.94736842105263,13.682388542673642,0.10102093678109574,0.2994535519125683,99.6595238095238,0.07978762217850811,4.0,4.0,5.0,7.0,1.0,1.0,110.0,9.0,35.0,0.5321637426900585,0.3661663995337316,0.005772358893941608,0.014502728623911849,91.0,16.0,2.2879254725329607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14.0,0.051094890510948905,48.0,24.0,36.92857142857143,7.4398952154130855,0.09649083362299078,0.2751004016064257,90.63571428571439,8.167414373274668e-05,10.0,11.0,0.0,0.0,1.0,1.0,97.0,11.0,12.0,0.9120879120879121,0.576304724214692,0.0032555070765050913,0.013866725855547437,83.0,14.0,-0.3562705661646394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16.0,0.058394160583941604,48.0,20.0,33.1875,8.804961314508997,0.09942430951410358,0.2795918367346939,92.77619047619058,0.0007624395001600833,5.0,12.0,0.0,0.0,1.0,1.0,105.0,9.0,27.0,0.7416666666666667,0.48009413610511864,0.0037076374813868732,0.014287827399344361,89.0,16.0,0.008381501719145597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.0,0.0364963503649635,48.0,26.0,38.3,7.887331614684399,0.07029410071547272,0.2718253968253968,88.08571428571437,8.838993395517317e-05,6.0,0.0,0.0,0.0,1.0,1.0,50.0,8.0,5.0,0.8888888888888888,0.5930967428293632,0.0024981758852412684,0.010094950393858309,40.0,10.0,-0.3001213105361955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14.0,0.051094890510948905,48.0,20.0,32.42857142857143,9.59698081775339,0.0848596596705937,0.2784552845528455,91.70238095238106,0.0012637565340681467,8.0,2.0,0.0,4.0,1.0,1.0,75.0,8.0,13.0,0.6703296703296703,0.46085594989561585,0.003349001875502402,0.012195460553248463,61.0,14.0,-0.2911122348249494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23.0,0.08394160583941605,48.0,20.0,31.565217391304348,8.80131456069031,0.13818746494393652,0.2958963282937365,100.21904761904759,0.0026407111126628044,10.0,10.0,0.0,11.0,1.0,1.0,203.0,11.0,69.0,0.7114624505928854,0.4583896505116818,0.005122819768404124,0.019877004835538975,180.0,17.0,0.7079805720253182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18.0,0.06569343065693431,48.0,20.0,34.111111111111114,8.793235334865148,0.11493034443090618,0.28964059196617337,96.44285714285718,0.001409609048757861,8.0,7.0,0.0,0.0,1.0,1.0,136.0,10.0,35.0,0.7712418300653595,0.5000757920266788,0.004136033500007679,0.01651633623635943,118.0,17.0,0.1776254523765656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22.0,0.08029197080291971,48.0,20.0,32.0,9.005049088756213,0.13366486195662314,0.29273504273504275,98.72619047619051,0.002437784822285266,10.0,10.0,0.0,7.0,1.0,1.0,185.0,11.0,54.0,0.7056277056277056,0.4687795151642355,0.004905734248975443,0.019222066394183623,163.0,17.0,1.6947305852271035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15.0,0.05474452554744525,48.0,20.0,35.06666666666667,8.977502746062267,0.0976926791728633,0.282183316168898,93.2190476190477,0.0007456296699290986,10.0,11.0,0.0,0.0,1.0,1.0,96.0,10.0,17.0,0.7714285714285715,0.5183496199782844,0.0035164558472428006,0.014035873305826873,81.0,15.0,-0.6560542800517692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
