degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72, Target 
45.0,0.3629032258064516,44.0,11.0,24.333333333333332,9.148163142887697,0.2218853002245599,0.4881889763779528,76.49999999999999,0.026312797965299402,0.0,7.0,9.0,13.0,0.0,0.0,502.0,11.0,458.0,0.4616161616161616,0.3484397332062887,0.019595501790399587,0.03181078620684844,457.0,17.0,-0.6751606202573888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15.0,0.12096774193548387,45.0,21.0,34.8,6.794115100585211,0.09902052986128508,0.38271604938271603,56.73333333333343,0.0006328795136932488,9.0,2.0,0.0,0.0,1.0,1.0,99.0,9.0,26.0,0.8,0.509475059899804,0.007032949580404638,0.014141245710246438,84.0,15.0,0.23833547648777598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13.0,0.10483870967741934,45.0,3.0,31.23076923076923,11.060350850978715,0.07688491608845147,0.38509316770186336,56.23333333333342,0.02090466103048469,5.0,3.0,1.0,1.0,1.0,1.0,66.0,9.0,8.0,0.6794871794871795,0.42327878974992283,0.007096947268409684,0.010979635758319358,53.0,12.0,-1.2774933466960847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12.0,0.0967741935483871,45.0,4.0,31.833333333333332,11.193996406804656,0.07118338974271252,0.38509316770186336,55.70000000000008,0.00749569149469838,5.0,2.0,0.0,0.0,1.0,1.0,52.0,6.0,18.0,0.6060606060606061,0.4219529579472559,0.006502886442513843,0.01015633998863549,40.0,11.0,0.3243706714611715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19.0,0.1532258064516129,45.0,20.0,32.8421052631579,7.2421511626452455,0.11841149467965789,0.40789473684210525,60.4500000000001,0.002529339768253168,10.0,8.0,0.0,0.0,1.0,1.0,139.0,9.0,51.0,0.7017543859649122,0.4637163276525563,0.008712302911511854,0.01690612273114247,120.0,17.0,-1.9307313197856548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19.0,0.1532258064516129,45.0,7.0,31.05263157894737,8.840538708344623,0.11259422871074304,0.4175084175084175,61.2500000000001,0.035566838513730874,5.0,3.0,0.0,0.0,1.0,1.0,128.0,9.0,44.0,0.6374269005847953,0.42735527809307605,0.009401576280809917,0.016081805586306598,109.0,17.0,-1.0401103195332628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18.0,0.14516129032258063,45.0,3.0,31.166666666666668,11.795714852813663,0.10597969750794324,0.40522875816993464,59.950000000000095,0.04389312182479309,8.0,10.0,1.0,0.0,1.0,1.0,111.0,11.0,17.0,0.6078431372549019,0.4235127478753541,0.009810138165544498,0.015126351634969431,93.0,16.0,2.3531368473907635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11.0,0.08870967741935484,45.0,3.0,28.454545454545453,11.484088885090586,0.059921196633193,0.36578171091445427,53.55000000000008,0.02433973611820565,4.0,0.0,0.0,2.0,1.0,1.0,41.0,6.0,9.0,0.5454545454545454,0.37482582443102647,0.006404741532658563,0.008563745685264482,30.0,10.0,1.2303620115325058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19.0,0.1532258064516129,45.0,6.0,31.894736842105264,10.637049139889886,0.11282148216963603,0.43356643356643354,62.666666666666764,0.055820336086077026,9.0,8.0,0.0,0.0,1.0,1.0,123.0,10.0,37.0,0.6081871345029239,0.4200712914724431,0.010156367511156417,0.016092315368096452,104.0,16.0,1.3659886898868634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12.0,0.0967741935483871,45.0,24.0,34.916666666666664,7.5217277861465375,0.07882525682992939,0.3712574850299401,54.43333333333342,0.00046001848523566683,7.0,2.0,0.0,0.0,1.0,1.0,63.0,8.0,11.0,0.7727272727272727,0.5185699409927108,0.0058788354337463156,0.011250509867412758,51.0,12.0,-0.2604885137870984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
