degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, Target 
172.0,0.22963951935914553,136.0,12.0,32.51744186046512,24.02602122244762,0.22711216660079894,0.49018324607329844,430.96666666666454,0.06728754102116792,0.0,7.0,14.0,10.0,0.0,0.0,1285.0,9.0,768.0,0.07568339453284374,0.04321943746594574,0.009453859764804106,0.011918159728555514,1113.0,13.0,-0.7452783166836952,0.0
84.0,0.11214953271028037,172.0,5.0,35.57142857142857,31.198399575209336,0.11544770978564653,0.4553191489361702,383.3333333333312,0.023507395356314447,7.0,8.0,9.0,12.0,1.0,1.0,390.0,9.0,169.0,0.08777969018932874,0.04763647772432546,0.004842362235667133,0.006113527612547583,306.0,13.0,-0.29312976167963106,0.0
56.0,0.07476635514018691,172.0,12.0,40.089285714285715,35.12339309273719,0.08264851040429369,0.4359720605355064,362.7333333333312,0.009156692264608258,6.0,0.0,11.0,3.0,1.0,1.0,231.0,6.0,109.0,0.11363636363636363,0.04975733461588912,0.003213453688517965,0.004385036014398632,175.0,13.0,0.2995561694420269,0.0
72.0,0.09612817089452604,172.0,12.0,37.375,30.17653498811434,0.1032328030003632,0.43903868698710435,371.2666666666645,0.010564514991702042,1.0,1.0,9.0,6.0,1.0,1.0,316.0,7.0,146.0,0.09546165884194054,0.05047295383743982,0.004000206078566973,0.00547240873847985,244.0,13.0,-0.14649635028139327,0.0
70.0,0.09345794392523364,172.0,12.0,38.52857142857143,33.56133890934261,0.10529236440549745,0.4476987447698745,373.44999999999766,0.013928649060504002,5.0,1.0,9.0,6.0,1.0,1.0,326.0,8.0,148.0,0.10600414078674948,0.0546611974349848,0.003962230186498951,0.005616413488120797,256.0,13.0,-0.39529875891849625,0.0
62.0,0.08277703604806408,172.0,12.0,42.70967741935484,35.06417485069994,0.09967975295375958,0.4375,366.08333333333104,0.008813203221200626,7.0,8.0,11.0,5.0,1.0,1.0,312.0,9.0,134.0,0.13220518244315177,0.057037798885460574,0.0034516576230693135,0.005343607195281021,250.0,13.0,-0.41975411298574705,0.0
34.0,0.045393858477970624,172.0,12.0,43.1764705882353,41.11352331420841,0.055278892281093756,0.41312741312741313,341.38333333333134,0.0028801811082844217,9.0,9.0,2.0,1.0,1.0,1.0,109.0,8.0,41.0,0.13368983957219252,0.05854632767093777,0.0020134733582439805,0.0029793640733770366,75.0,13.0,-0.4095497819668127,0.0
21.0,0.028037383177570093,172.0,12.0,38.523809523809526,39.522891555604836,0.029447105165850262,0.3864809081527348,318.6666666666656,0.0009838844506363804,4.0,2.0,3.0,6.0,1.0,1.0,41.0,4.0,19.0,0.09523809523809523,0.04751116145798627,0.0013221454348026035,0.001567744229250673,20.0,13.0,1.258788505865888,0.0
56.0,0.07476635514018691,172.0,12.0,37.392857142857146,31.838699818341343,0.07880487633900875,0.4329479768786127,361.19999999999783,0.007210765815610434,4.0,9.0,4.0,7.0,1.0,1.0,199.0,6.0,93.0,0.09285714285714286,0.048581932773109245,0.0031863889250143434,0.004161192683042926,143.0,13.0,-0.5837545276983427,0.0
57.0,0.07610146862483311,172.0,13.0,40.29824561403509,32.7943966717255,0.0856977556912355,0.43981209630064594,364.9166666666642,0.007442931986340826,5.0,1.0,9.0,4.0,1.0,1.0,232.0,6.0,112.0,0.10964912280701754,0.051954386437029064,0.003221077052365362,0.004538192434310952,175.0,13.0,-1.172528732929844,0.0
48.0,0.06408544726301735,172.0,12.0,47.395833333333336,38.0305467044439,0.08584210424597004,0.42996555683122845,357.4333333333312,0.0040874922281170034,7.0,8.0,7.0,0.0,1.0,1.0,227.0,9.0,81.0,0.15868794326241134,0.06604053183987572,0.002694708246871461,0.004631711290393794,179.0,13.0,-0.581893550465454,0.0
39.0,0.0520694259012016,172.0,12.0,39.56410256410256,37.981638527323305,0.056477079630851225,0.4158800666296502,345.4666666666644,0.0031665867605707716,4.0,3.0,6.0,11.0,1.0,1.0,110.0,7.0,41.0,0.09581646423751687,0.050623813648342335,0.002263083185434672,0.003019825801254042,71.0,13.0,1.231867017854783,0.0
47.0,0.06275033377837116,172.0,12.0,41.787234042553195,38.20155737619214,0.0736592749172944,0.428,355.2666666666645,0.005252211955868892,7.0,0.0,6.0,2.0,8.0,2.0,189.0,8.0,71.0,0.13135985198889916,0.055350110460090286,0.0027042443264910974,0.003946301649796556,142.0,13.0,0.07011834614250619,0.0
125.0,0.16688918558077437,172.0,12.0,36.88,28.36380792488907,0.1847623762418124,0.4675405742821473,403.66666666666436,0.029289125468920152,2.0,6.0,15.0,8.0,2.0,3.0,902.0,9.0,532.0,0.10025806451612904,0.051465471967480726,0.006799522833019483,0.009817847615851714,777.0,13.0,0.018887190811349562,0.0
123.0,0.16421895861148197,172.0,12.0,36.4390243902439,28.102063212009234,0.17863558202974567,0.4698870765370138,403.99999999999767,0.03147022315452446,3.0,5.0,18.0,4.0,4.0,4.0,851.0,9.0,471.0,0.09702785552445689,0.0504525917562937,0.006723887393639575,0.009499984630649045,728.0,13.0,0.9384382590319985,0.0
136.0,0.1815754339118825,172.0,4.0,34.98529411764706,26.15844967920265,0.1909231348196993,0.4838501291989664,414.63333333333105,0.050000722442830436,1.0,4.0,13.0,15.0,3.0,5.0,973.0,9.0,550.0,0.09117647058823529,0.04812337045495887,0.007550996776720763,0.010111333799965505,837.0,13.0,-0.1335213933578916,0.0
89.0,0.11882510013351134,172.0,12.0,41.39325842696629,32.06475820267692,0.14222766878002882,0.45587340231284235,385.0499999999977,0.018641438112862174,6.0,3.0,16.0,7.0,5.0,6.0,585.0,9.0,273.0,0.12665985699693566,0.05620491248752453,0.004893846507560997,0.0076093966566976425,496.0,13.0,-0.21575125795831657,0.0
99.0,0.1321762349799733,172.0,12.0,37.74747474747475,30.901715631605878,0.14485990713107075,0.4539393939393939,388.2333333333311,0.019957427648742396,4.0,2.0,17.0,14.0,6.0,7.0,600.0,9.0,305.0,0.10327767470624613,0.050783235798309394,0.005432826677213602,0.007717945756480476,501.0,13.0,-1.959197387314435,0.0
