degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, Target 
142.0,0.18958611481975968,142.0,2.0,35.978873239436616,26.64647753320491,0.20265534068098318,0.4692982456140351,411.68333333333123,0.042911482011913235,0.0,6.0,14.0,15.0,0.0,0.0,1056.0,9.0,640.0,0.09129957047248027,0.04802164102071681,0.007982769644155443,0.010712591973198144,914.0,13.0,1.2067807759712101,0.0
62.0,0.08277703604806408,142.0,4.0,35.08064516129032,32.96933980724671,0.08236013302258129,0.43445475638051045,364.5999999999975,0.011827345799660542,8.0,2.0,7.0,3.0,1.0,1.0,217.0,8.0,87.0,0.08196721311475409,0.045900439238653,0.003677648296942172,0.0043648425576169065,155.0,13.0,0.06581184495846226,0.0
37.0,0.04939919893190921,142.0,3.0,46.62162162162162,42.51063545867167,0.06322512439303458,0.4207865168539326,348.18333333333106,0.005938208157549228,6.0,9.0,7.0,8.0,1.0,1.0,128.0,8.0,44.0,0.13663663663663664,0.06054930243142472,0.0023082447442905104,0.0033943775762829615,91.0,13.0,0.4241195765473798,0.0
39.0,0.0520694259012016,142.0,12.0,44.43589743589744,33.47160669827248,0.06433250491997806,0.4253265190232822,351.1499999999977,0.004133389541390673,4.0,3.0,10.0,9.0,1.0,1.0,141.0,6.0,61.0,0.13765182186234817,0.05765617273776166,0.002299549765021791,0.0034248433680034098,102.0,13.0,0.5280287986863248,0.0
52.0,0.06942590120160214,142.0,12.0,43.59615384615385,35.268889982415324,0.08532286987843939,0.43370005790387955,360.8499999999975,0.0065331864950648015,9.0,7.0,5.0,13.0,1.0,1.0,235.0,8.0,98.0,0.13800904977375567,0.058410490200686185,0.0029986819252496074,0.004557668596171556,183.0,13.0,0.5429277794923723,0.0
82.0,0.10947930574098798,142.0,2.0,33.65853658536585,30.067492985677795,0.10791644334829557,0.44214876033057854,376.6166666666642,0.01906570482085734,5.0,3.0,10.0,11.0,1.0,1.0,360.0,7.0,172.0,0.08370972598614874,0.04598501329465796,0.004838338135937366,0.005689721128342042,278.0,13.0,0.28677921114845906,0.0
67.0,0.08945260347129506,142.0,12.0,38.223880597014926,28.094627358865328,0.09788604080135889,0.43420289855072464,366.9499999999976,0.007907596187401167,2.0,5.0,8.0,13.0,1.0,1.0,289.0,7.0,133.0,0.10040705563093623,0.05197052226850368,0.003760403411716473,0.005186916767788779,222.0,13.0,0.059823383702725615,0.0
64.0,0.08544726301735647,142.0,5.0,41.53125,34.32563216369802,0.10109433952427926,0.44058823529411767,368.6999999999976,0.013765504310700371,8.0,7.0,9.0,6.0,1.0,1.0,305.0,9.0,123.0,0.1195436507936508,0.05542025080319204,0.0037036838998630523,0.0053854676219583265,241.0,13.0,-0.19651382368156708,0.0
60.0,0.0801068090787717,142.0,12.0,37.1,32.69235384612127,0.08399815298639489,0.432198499711483,363.48333333333096,0.008260493908950284,3.0,4.0,9.0,13.0,1.0,1.0,216.0,8.0,90.0,0.08813559322033898,0.04894966799140974,0.003456693288678441,0.004459594460371742,156.0,13.0,0.4553719240877324,0.0
72.0,0.09612817089452604,142.0,12.0,33.986111111111114,31.75360568133062,0.09480193428706771,0.4395539906103286,371.46666666666425,0.013732293104089306,5.0,2.0,8.0,6.0,1.0,1.0,292.0,8.0,139.0,0.08607198748043818,0.045855072103276516,0.004155974005102467,0.004999878115969107,220.0,13.0,-1.0628249300948058,0.0
66.0,0.08811748998664887,142.0,12.0,42.45454545454545,34.36840595406909,0.10383409491464408,0.4362259755387303,367.79999999999757,0.009172533729601666,7.0,7.0,4.0,11.0,1.0,1.0,321.0,8.0,142.0,0.11888111888111888,0.0542116746229438,0.0037394384575595223,0.0055344533390482,255.0,13.0,0.08391572454385002,0.0
31.0,0.04138851802403204,142.0,14.0,39.25806451612903,33.85926064960328,0.046116706804300335,0.40225563909774437,333.9999999999982,0.0028566363105124713,2.0,7.0,6.0,7.0,1.0,1.0,84.0,4.0,42.0,0.11397849462365592,0.055365483592657604,0.0019054362411373817,0.002442784838270806,53.0,13.0,-0.0730279475557996,0.0
