degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72, Target 
16.0,0.08040201005025126,22.0,4.0,14.5,4.4860896112315904,0.08686094558166475,0.34608695652173915,85.26428571428568,0.04130159200955099,4.0,4.0,3.0,0.0,0.0,0.0,24.0,3.0,14.0,0.06666666666666667,0.06613756613756613,0.007154697469907491,0.008676176231359028,8.0,11.0,0.7488231091111326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20.0,0.10050251256281408,25.0,9.0,16.95,4.271709259769443,0.13293484261734778,0.34912280701754383,87.08809523809515,0.009987782876594088,2.0,3.0,7.0,7.0,2.0,1.0,50.0,4.0,23.0,0.15789473684210525,0.0832129963898917,0.0076714439666333055,0.01340107068347546,30.0,11.0,0.15274408362426747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
13.0,0.06532663316582915,22.0,3.0,16.307692307692307,5.0441834802323084,0.08044645043321308,0.3407534246575342,82.4952380952381,0.011813670176567991,6.0,5.0,1.0,0.0,0.0,0.0,24.0,4.0,12.0,0.14102564102564102,0.07447774750227067,0.0057428594831490255,0.008061552316462097,11.0,11.0,-0.3449717809866459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20.0,0.10050251256281408,25.0,12.0,16.1,3.176476034853718,0.12372649378178857,0.34851138353765326,87.09761904761898,0.011672312014813838,1.0,2.0,0.0,7.0,1.0,3.0,50.0,4.0,29.0,0.15789473684210525,0.07497160166603559,0.007822067468719255,0.01242145671679683,30.0,11.0,0.8759136860979321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
22.0,0.11055276381909548,22.0,8.0,16.363636363636363,3.2828127427759615,0.1375028450700045,0.3579136690647482,89.5047619047618,0.016513079203408058,0.0,0.0,4.0,6.0,3.0,0.0,54.0,4.0,25.0,0.13852813852813853,0.07701730209768795,0.008578598367989281,0.013767306154632094,32.0,11.0,-0.11397634514459512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
11.0,0.05527638190954774,23.0,13.0,17.363636363636363,2.9625764976000593,0.07188230707174652,0.3407534246575342,81.89761904761903,0.006028252618451344,6.0,2.0,0.0,2.0,2.0,1.0,21.0,4.0,9.0,0.18181818181818182,0.07878787878787878,0.00470153829520436,0.007205989029258417,10.0,11.0,1.2403425163265107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16.0,0.08040201005025126,23.0,12.0,16.4375,3.7578043788893534,0.09998505318131637,0.34608695652173915,85.08809523809519,0.010651589938718033,3.0,2.0,0.0,3.0,2.0,3.0,29.0,4.0,12.0,0.10833333333333334,0.07636044470450556,0.006484682055093856,0.010024441243427277,13.0,11.0,0.47681542621914297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17.0,0.08542713567839195,23.0,4.0,17.235294117647058,4.608552302541387,0.11172773620818109,0.34912280701754383,85.89523809523806,0.01569181661050335,4.0,4.0,4.0,4.0,0.0,7.0,42.0,4.0,20.0,0.18382352941176472,0.085259756400696,0.007027673657385076,0.0112415928827412,25.0,11.0,-0.8487581043510841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
16.0,0.08040201005025126,23.0,12.0,15.875,3.179524335494226,0.09685014953733623,0.33614864864864863,83.41428571428568,0.004523181250900901,3.0,2.0,5.0,2.0,0.0,7.0,36.0,3.0,20.0,0.16666666666666666,0.07654772796584325,0.006348453377606274,0.00972119259661054,20.0,11.0,1.2717320575618682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,0.06532663316582915,18.0,3.0,14.615384615384615,3.833826398269881,0.07185130253021266,0.3390119250425894,82.19523809523811,0.023080304228115713,2.0,5.0,2.0,0.0,1.0,2.0,23.0,4.0,13.0,0.1282051282051282,0.06856272219400711,0.006057432976716324,0.00719505476273629,10.0,11.0,-1.529120540301862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
