dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,1,GCN,F_C,20,79.2,84.78,0:00:53.794002
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,2,GCN,F_C,20,81.6,84.43,0:00:53.077346
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,3,GCN,F_C,20,75.2,91.7,0:00:46.246167
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,4,GCN,F_C,20,83.2,89.97,0:00:46.328950
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,5,GCN,F_C,20,84.8,89.27,0:00:45.989033
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,6,GCN,F_C,20,72.0,78.89,0:00:46.396944
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,7,GCN,F_C,20,86.4,93.08,0:00:46.507846
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,8,GCN,F_C,20,71.2,71.28,0:00:46.449825
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,9,GCN,F_C,20,81.6,86.85,0:00:46.472250
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,10,GCN,F_C,20,68.8,87.2,0:00:46.467198
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,1,GCN,F_C,20,70.45,75.97,0:00:49.114674
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,2,GCN,F_C,20,76.52,81.17,0:00:48.536654
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,3,GCN,F_C,20,70.45,76.3,0:00:48.940442
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,4,GCN,F_C,20,93.94,92.86,0:00:48.822606
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,5,GCN,F_C,20,80.3,84.42,0:00:49.231004
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,6,GCN,F_C,20,72.73,75.0,0:00:48.908789
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,7,GCN,F_C,20,82.58,91.23,0:00:49.143884
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,8,GCN,F_C,20,90.15,96.1,0:00:49.198145
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,9,GCN,F_C,20,77.27,81.17,0:00:49.217738
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,10,GCN,F_C,20,85.61,87.34,0:00:49.229418
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,1,GCN,F_C,20,91.15,96.17,0:00:41.538917
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,2,GCN,F_C,20,76.11,81.61,0:00:41.693258
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,3,GCN,F_C,20,73.45,77.01,0:00:41.525620
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,4,GCN,F_C,20,96.46,94.25,0:00:41.480174
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,5,GCN,F_C,20,78.76,82.76,0:00:41.613293
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,6,GCN,F_C,20,75.22,80.08,0:00:41.640489
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,7,GCN,F_C,20,82.3,87.36,0:00:41.726555
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,8,GCN,F_C,20,92.92,94.25,0:00:41.562913
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,9,GCN,F_C,20,90.27,92.72,0:00:41.697839
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,10,GCN,F_C,20,84.96,92.72,0:00:41.615735
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,1,GCN,F_C,20,90.91,94.92,0:00:29.121085
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,2,GCN,F_C,20,81.82,83.62,0:00:29.049510
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,3,GCN,F_C,20,89.61,98.31,0:00:29.087727
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,4,GCN,F_C,20,84.42,98.31,0:00:29.073548
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,5,GCN,F_C,20,85.71,92.09,0:00:29.041718
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,6,GCN,F_C,20,87.01,91.53,0:00:29.081098
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,7,GCN,F_C,20,90.91,88.14,0:00:29.178733
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,8,GCN,F_C,20,89.61,97.18,0:00:29.070358
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
