dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,1,GCN,F_v3,167,76.8,100.0,0:00:50.661269
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,2,GCN,F_v3,167,77.6,100.0,0:00:46.294798
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,3,GCN,F_v3,167,76.0,100.0,0:00:46.353098
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,4,GCN,F_v3,167,80.0,100.0,0:00:46.500420
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,5,GCN,F_v3,167,78.4,100.0,0:00:46.503431
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,6,GCN,F_v3,167,72.8,100.0,0:00:46.496832
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,7,GCN,F_v3,167,76.0,100.0,0:00:46.504209
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,8,GCN,F_v3,167,79.2,100.0,0:00:46.760693
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,9,GCN,F_v3,167,76.8,100.0,0:00:46.590624
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,10,GCN,F_v3,167,78.4,100.0,0:00:46.560464
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,1,GCN,F_v3,167,76.52,99.35,0:00:49.144574
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,2,GCN,F_v3,167,79.55,100.0,0:00:49.212486
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,3,GCN,F_v3,167,80.3,100.0,0:00:49.302169
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,4,GCN,F_v3,167,75.0,99.35,0:00:49.178175
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,5,GCN,F_v3,167,87.12,99.68,0:00:49.176880
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,6,GCN,F_v3,167,80.3,99.35,0:00:49.287689
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,7,GCN,F_v3,167,78.79,100.0,0:00:49.205988
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,8,GCN,F_v3,167,78.79,99.68,0:00:49.390202
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,9,GCN,F_v3,167,76.52,100.0,0:00:49.120478
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1914,440,10,GCN,F_v3,167,79.55,99.35,0:00:49.177853
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,1,GCN,F_v3,167,82.3,100.0,0:00:41.694847
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,2,GCN,F_v3,167,84.07,100.0,0:00:41.731996
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,3,GCN,F_v3,167,87.61,100.0,0:00:41.706644
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,4,GCN,F_v3,167,81.42,100.0,0:00:41.692662
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,5,GCN,F_v3,167,89.38,100.0,0:00:41.979498
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,6,GCN,F_v3,167,87.61,100.0,0:00:41.810163
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,7,GCN,F_v3,167,82.3,100.0,0:00:41.715748
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,8,GCN,F_v3,167,76.99,100.0,0:00:41.869005
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,9,GCN,F_v3,167,83.19,100.0,0:00:41.907910
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL204,374,10,GCN,F_v3,167,83.19,100.0,0:00:41.794745
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,1,GCN,F_v3,167,83.12,100.0,0:00:29.396341
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,2,GCN,F_v3,167,84.42,100.0,0:00:29.273349
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,3,GCN,F_v3,167,83.12,100.0,0:00:29.308723
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,4,GCN,F_v3,167,83.12,100.0,0:00:29.342984
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,5,GCN,F_v3,167,79.22,100.0,0:00:29.372477
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,6,GCN,F_v3,167,81.82,100.0,0:00:29.340026
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,7,GCN,F_v3,167,80.52,100.0,0:00:29.233806
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL214,254,8,GCN,F_v3,167,81.82,100.0,0:00:29.308204
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
