dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,1,GCN,T_K,1,61.6,62.98,0:00:53.053888
CHEMBL1163125,414,1,GCN,T_K,2,62.4,65.05,0:01:46.155042
CHEMBL1163125,414,1,GCN,T_K,3,68.0,68.17,0:02:35.046177
CHEMBL1163125,414,1,GCN,T_K,4,68.8,68.86,0:03:20.712491
CHEMBL1163125,414,1,GCN,T_K,5,76.8,72.32,0:04:06.328905
CHEMBL1163125,414,1,GCN,T_K,6,75.2,72.32,0:04:51.915474
CHEMBL1163125,414,1,GCN,T_K,7,75.2,72.66,0:05:37.477738
CHEMBL1163125,414,1,GCN,T_K,8,75.2,72.32,0:06:23.214715
CHEMBL1163125,414,1,GCN,T_K,9,76.0,72.66,0:07:08.871508
CHEMBL1163125,414,1,GCN,T_K,10,75.2,72.66,0:07:54.455863
CHEMBL1163125,414,1,GCN,T_K,11,79.2,74.39,0:08:40.141251
CHEMBL1163125,414,1,GCN,T_K,12,79.2,74.39,0:09:25.869851
CHEMBL1163125,414,1,GCN,T_K,13,80.0,73.7,0:10:11.769510
CHEMBL1163125,414,1,GCN,T_K,14,80.8,74.39,0:10:57.479667
CHEMBL1163125,414,1,GCN,T_K,15,80.0,75.09,0:11:43.209665
CHEMBL1163125,414,1,GCN,T_K,16,80.0,75.09,0:12:28.979377
CHEMBL1163125,414,1,GCN,T_K,17,80.8,75.78,0:13:14.857582
CHEMBL1163125,414,1,GCN,T_K,18,78.4,78.2,0:14:00.512481
CHEMBL1163125,414,1,GCN,T_K,19,78.4,78.55,0:14:46.237231
CHEMBL1163125,414,1,GCN,T_K,20,79.2,78.55,0:15:31.946242
CHEMBL1163125,414,1,GCN,T_K,21,76.0,77.85,0:16:17.845605
CHEMBL1163125,414,1,GCN,T_K,22,72.8,80.62,0:17:03.498447
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,2,GCN,T_K,1,48.8,49.48,0:00:45.619033
CHEMBL1163125,414,2,GCN,T_K,2,68.8,67.47,0:01:31.221777
CHEMBL1163125,414,2,GCN,T_K,3,67.2,67.82,0:02:16.990357
CHEMBL1163125,414,2,GCN,T_K,4,69.6,67.47,0:03:02.605885
CHEMBL1163125,414,2,GCN,T_K,5,75.2,72.66,0:03:48.333334
CHEMBL1163125,414,2,GCN,T_K,6,74.4,72.66,0:04:34.028156
CHEMBL1163125,414,2,GCN,T_K,7,75.2,73.36,0:05:19.856482
CHEMBL1163125,414,2,GCN,T_K,8,74.4,71.97,0:06:05.558494
CHEMBL1163125,414,2,GCN,T_K,9,72.8,73.7,0:06:51.288385
CHEMBL1163125,414,2,GCN,T_K,10,72.0,73.7,0:07:37.103305
CHEMBL1163125,414,2,GCN,T_K,11,75.2,72.66,0:08:22.967683
CHEMBL1163125,414,2,GCN,T_K,12,76.8,73.01,0:09:08.777157
CHEMBL1163125,414,2,GCN,T_K,13,77.6,74.39,0:09:54.502112
CHEMBL1163125,414,2,GCN,T_K,14,72.8,73.7,0:10:40.283325
CHEMBL1163125,414,2,GCN,T_K,15,71.2,75.43,0:11:26.091086
CHEMBL1163125,414,2,GCN,T_K,16,83.2,81.66,0:12:11.967532
CHEMBL1163125,414,2,GCN,T_K,17,84.0,80.62,0:12:57.668425
CHEMBL1163125,414,2,GCN,T_K,18,84.0,81.31,0:13:43.425490
CHEMBL1163125,414,2,GCN,T_K,19,84.0,83.04,0:14:29.190560
CHEMBL1163125,414,2,GCN,T_K,20,84.0,83.04,0:15:15.149629
CHEMBL1163125,414,2,GCN,T_K,21,84.0,83.04,0:16:00.914088
CHEMBL1163125,414,2,GCN,T_K,22,84.0,84.08,0:16:46.717024
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,3,GCN,T_K,1,45.6,49.83,0:00:45.705736
CHEMBL1163125,414,3,GCN,T_K,2,47.2,55.36,0:01:31.477805
CHEMBL1163125,414,3,GCN,T_K,3,43.2,56.06,0:02:17.229329
CHEMBL1163125,414,3,GCN,T_K,4,43.2,57.09,0:03:02.959293
CHEMBL1163125,414,3,GCN,T_K,5,41.6,56.4,0:03:48.680657
CHEMBL1163125,414,3,GCN,T_K,6,47.2,55.02,0:04:34.627897
CHEMBL1163125,414,3,GCN,T_K,7,59.2,65.74,0:05:20.323590
CHEMBL1163125,414,3,GCN,T_K,8,58.4,66.44,0:06:06.117155
CHEMBL1163125,414,3,GCN,T_K,9,68.0,65.4,0:06:51.956975
CHEMBL1163125,414,3,GCN,T_K,10,68.0,65.74,0:07:37.773066
CHEMBL1163125,414,3,GCN,T_K,11,69.6,67.13,0:08:23.548309
CHEMBL1163125,414,3,GCN,T_K,12,69.6,66.78,0:09:09.253258
CHEMBL1163125,414,3,GCN,T_K,13,72.8,73.01,0:09:54.907400
CHEMBL1163125,414,3,GCN,T_K,14,72.8,73.01,0:10:40.779543
CHEMBL1163125,414,3,GCN,T_K,15,72.8,73.01,0:11:26.462611
CHEMBL1163125,414,3,GCN,T_K,16,72.8,71.63,0:12:12.133748
CHEMBL1163125,414,3,GCN,T_K,17,75.2,73.01,0:12:57.849732
CHEMBL1163125,414,3,GCN,T_K,18,75.2,74.05,0:13:43.590823
CHEMBL1163125,414,3,GCN,T_K,19,77.6,72.66,0:14:29.518430
CHEMBL1163125,414,3,GCN,T_K,20,77.6,71.28,0:15:15.225683
CHEMBL1163125,414,3,GCN,T_K,21,76.8,71.28,0:16:00.985978
CHEMBL1163125,414,3,GCN,T_K,22,80.0,74.05,0:16:46.790420
