dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,1,GCN,T_K,1,65.6,68.51,0:00:52.698595
CHEMBL1163125,414,1,GCN,T_K,2,71.2,70.59,0:01:42.451936
CHEMBL1163125,414,1,GCN,T_K,3,77.6,71.28,0:02:28.880462
CHEMBL1163125,414,1,GCN,T_K,4,76.0,70.59,0:03:15.418107
CHEMBL1163125,414,1,GCN,T_K,5,77.6,75.09,0:04:01.785844
CHEMBL1163125,414,1,GCN,T_K,6,76.8,76.47,0:04:48.252871
CHEMBL1163125,414,1,GCN,T_K,7,76.8,75.09,0:05:34.911130
CHEMBL1163125,414,1,GCN,T_K,8,79.2,79.24,0:06:21.635707
CHEMBL1163125,414,1,GCN,T_K,9,80.0,83.04,0:07:08.301589
CHEMBL1163125,414,1,GCN,T_K,10,81.6,83.04,0:07:54.891107
CHEMBL1163125,414,1,GCN,T_K,11,81.6,83.04,0:08:41.529055
CHEMBL1163125,414,1,GCN,T_K,12,81.6,83.39,0:09:28.064125
CHEMBL1163125,414,1,GCN,T_K,13,80.8,83.04,0:10:14.671083
CHEMBL1163125,414,1,GCN,T_K,14,80.0,82.7,0:11:01.182856
CHEMBL1163125,414,1,GCN,T_K,15,80.0,84.08,0:11:47.829999
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,2,GCN,T_K,1,52.8,64.01,0:00:46.480113
CHEMBL1163125,414,2,GCN,T_K,2,61.6,66.44,0:01:33.184534
CHEMBL1163125,414,2,GCN,T_K,3,76.0,73.01,0:02:19.689993
CHEMBL1163125,414,2,GCN,T_K,4,72.0,74.05,0:03:06.308523
CHEMBL1163125,414,2,GCN,T_K,5,72.0,73.7,0:03:52.806650
CHEMBL1163125,414,2,GCN,T_K,6,72.0,73.36,0:04:39.416241
CHEMBL1163125,414,2,GCN,T_K,7,73.6,73.7,0:05:25.932385
CHEMBL1163125,414,2,GCN,T_K,8,73.6,73.7,0:06:12.573559
CHEMBL1163125,414,2,GCN,T_K,9,75.2,72.66,0:06:59.165853
