dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,1,GCN,T_K,1,65.6,66.09,0:00:51.507343
CHEMBL1163125,414,1,GCN,T_K,2,65.6,66.09,0:01:43.518982
CHEMBL1163125,414,1,GCN,T_K,3,65.6,66.09,0:02:34.871601
CHEMBL1163125,414,1,GCN,T_K,4,64.8,69.2,0:03:27.661537
CHEMBL1163125,414,1,GCN,T_K,5,69.6,70.24,0:04:20.327779
CHEMBL1163125,414,1,GCN,T_K,6,80.0,75.78,0:05:13.160409
CHEMBL1163125,414,1,GCN,T_K,7,83.2,79.24,0:06:06.017610
CHEMBL1163125,414,1,GCN,T_K,8,82.4,79.58,0:06:58.972704
CHEMBL1163125,414,1,GCN,T_K,9,83.2,80.62,0:07:51.814759
CHEMBL1163125,414,1,GCN,T_K,10,82.4,80.28,0:08:44.697266
CHEMBL1163125,414,1,GCN,T_K,11,81.6,78.2,0:09:37.530579
CHEMBL1163125,414,1,GCN,T_K,12,79.2,78.55,0:10:30.308913
CHEMBL1163125,414,1,GCN,T_K,13,79.2,79.24,0:11:23.232549
CHEMBL1163125,414,1,GCN,T_K,14,79.2,78.89,0:12:15.991372
CHEMBL1163125,414,1,GCN,T_K,15,80.0,77.85,0:13:08.814243
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,2,GCN,T_K,1,59.2,59.86,0:00:52.620948
CHEMBL1163125,414,2,GCN,T_K,2,60.0,63.67,0:01:45.530974
CHEMBL1163125,414,2,GCN,T_K,3,60.0,63.67,0:02:38.248455
CHEMBL1163125,414,2,GCN,T_K,4,77.6,71.63,0:03:28.074039
CHEMBL1163125,414,2,GCN,T_K,5,78.4,72.32,0:04:14.293491
CHEMBL1163125,414,2,GCN,T_K,6,80.0,71.63,0:05:00.459037
CHEMBL1163125,414,2,GCN,T_K,7,79.2,72.32,0:05:46.684335
CHEMBL1163125,414,2,GCN,T_K,8,81.6,73.7,0:06:33.128226
CHEMBL1163125,414,2,GCN,T_K,9,81.6,73.7,0:07:19.490924
CHEMBL1163125,414,2,GCN,T_K,10,81.6,73.36,0:08:06.060947
CHEMBL1163125,414,2,GCN,T_K,11,80.0,73.36,0:08:52.454183
CHEMBL1163125,414,2,GCN,T_K,12,80.8,77.16,0:09:38.862442
CHEMBL1163125,414,2,GCN,T_K,13,73.6,82.35,0:10:25.261343
CHEMBL1163125,414,2,GCN,T_K,14,77.6,83.74,0:11:11.385148
CHEMBL1163125,414,2,GCN,T_K,15,79.2,83.04,0:11:57.406498
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,3,GCN,T_K,1,56.0,61.25,0:00:45.919045
CHEMBL1163125,414,3,GCN,T_K,2,60.0,64.01,0:01:31.882032
CHEMBL1163125,414,3,GCN,T_K,3,62.4,70.24,0:02:18.017480
CHEMBL1163125,414,3,GCN,T_K,4,68.0,71.28,0:03:04.050603
CHEMBL1163125,414,3,GCN,T_K,5,66.4,71.28,0:03:50.027867
CHEMBL1163125,414,3,GCN,T_K,6,76.8,75.43,0:04:35.967520
CHEMBL1163125,414,3,GCN,T_K,7,76.8,74.39,0:05:21.938462
CHEMBL1163125,414,3,GCN,T_K,8,74.4,76.47,0:06:08.031889
CHEMBL1163125,414,3,GCN,T_K,9,74.4,76.12,0:06:54.025285
CHEMBL1163125,414,3,GCN,T_K,10,73.6,76.12,0:07:40.041766
CHEMBL1163125,414,3,GCN,T_K,11,76.0,79.58,0:08:25.977437
CHEMBL1163125,414,3,GCN,T_K,12,77.6,80.62,0:09:12.188455
CHEMBL1163125,414,3,GCN,T_K,13,77.6,80.97,0:09:58.256140
CHEMBL1163125,414,3,GCN,T_K,14,75.2,80.28,0:10:44.370514
CHEMBL1163125,414,3,GCN,T_K,15,75.2,80.62,0:11:30.499912
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,4,GCN,T_K,1,63.2,54.33,0:00:46.107910
CHEMBL1163125,414,4,GCN,T_K,2,64.0,64.71,0:01:32.130810
CHEMBL1163125,414,4,GCN,T_K,3,64.0,64.71,0:02:18.180925
CHEMBL1163125,414,4,GCN,T_K,4,57.6,62.98,0:03:04.298019
CHEMBL1163125,414,4,GCN,T_K,5,70.4,70.93,0:03:50.988211
CHEMBL1163125,414,4,GCN,T_K,6,80.0,74.74,0:04:37.082079
CHEMBL1163125,414,4,GCN,T_K,7,80.0,73.7,0:05:23.183948
CHEMBL1163125,414,4,GCN,T_K,8,80.0,74.74,0:06:09.243183
CHEMBL1163125,414,4,GCN,T_K,9,81.6,76.82,0:06:55.326038
CHEMBL1163125,414,4,GCN,T_K,10,81.6,76.82,0:07:41.429940
CHEMBL1163125,414,4,GCN,T_K,11,80.0,76.82,0:08:27.458794
CHEMBL1163125,414,4,GCN,T_K,12,80.0,77.51,0:09:13.500731
CHEMBL1163125,414,4,GCN,T_K,13,79.2,76.47,0:09:59.826402
CHEMBL1163125,414,4,GCN,T_K,14,79.2,75.09,0:10:46.362044
CHEMBL1163125,414,4,GCN,T_K,15,81.6,78.2,0:11:32.698008
dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL1163125,414,5,GCN,T_K,1,64.8,61.25,0:00:46.014360
CHEMBL1163125,414,5,GCN,T_K,2,64.8,62.63,0:01:32.320923
CHEMBL1163125,414,5,GCN,T_K,3,64.8,62.63,0:02:18.911201
CHEMBL1163125,414,5,GCN,T_K,4,64.8,62.63,0:03:05.371597
CHEMBL1163125,414,5,GCN,T_K,5,73.6,68.51,0:03:51.885610
CHEMBL1163125,414,5,GCN,T_K,6,81.6,78.55,0:04:38.309130
