degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
24.0,0.8275862068965517,22.0,6.0,12.291666666666666,3.9736545591628314,0.29889866794987224,0.8448275862068966,26.0,0.08264224828264237,0.0,2.0,5.0,4.0,0.0,0.0,139.0,7.0,67.0,0.4166666666666667,0.2979459459459459,0.06068420166668448,0.05781540472933821,115.0,9.0,2.318031723134667,
0.0,0.0,0.0,0.0,0.0,0.0,3.7559049012939304e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005145797598627798,-0.0,0.0,0.0,0.01935744468620616,
6.0,0.20689655172413793,24.0,10.0,18.666666666666668,4.533823502911814,0.10407612481485479,0.5406896551724139,17.0,0.0009422159668465088,4.0,0.0,0.0,1.0,1.0,1.0,18.0,5.0,3.0,0.8,0.48823529411764705,0.018385919830615917,0.020086208131639173,12.0,6.0,0.6655934018641195,
15.0,0.5172413793103449,24.0,10.0,14.533333333333333,4.256237253203298,0.21067621772337913,0.6593776282590413,21.5,0.018679076807155626,3.0,5.0,0.0,5.0,1.0,1.0,70.0,6.0,20.0,0.5238095238095238,0.34052993130520115,0.03901442910355225,0.040657590521605703,55.0,9.0,-1.7925179141283658,
7.0,0.24137931034482757,24.0,8.0,16.428571428571427,4.865538961693257,0.10708460464079124,0.5517241379310345,17.5,0.0036427789506607243,5.0,5.0,0.0,1.0,1.0,1.0,17.0,5.0,4.0,0.47619047619047616,0.41123595505617977,0.020890678244108184,0.02063869674561392,10.0,7.0,-0.7924813210687673,
9.0,0.3103448275862069,24.0,12.0,17.333333333333332,4.055175020198813,0.14845589712854387,0.5752017608217168,18.5,0.0020611914084820485,6.0,5.0,0.0,1.0,1.0,1.0,38.0,7.0,6.0,0.8055555555555556,0.4425806451612903,0.0250242637705176,0.028681270922070772,29.0,9.0,1.5908248040830941,
7.0,0.24137931034482757,24.0,10.0,16.857142857142858,4.997958767010258,0.10888368308851101,0.5517241379310345,17.5,0.00226073187895848,3.0,5.0,0.0,5.0,1.0,1.0,21.0,5.0,5.0,0.6666666666666666,0.39606126914660833,0.020831588670923856,0.02096360121095188,14.0,7.0,0.9671312253040363,
10.0,0.3448275862068966,24.0,8.0,16.3,4.859012245302537,0.15369914037075022,0.5877061469265368,19.0,0.005984484863795208,4.0,5.0,0.0,7.0,1.0,1.0,37.0,5.0,12.0,0.6,0.39556962025316456,0.02758021508088589,0.029655849729974322,27.0,9.0,0.9902416449293359,
10.0,0.3448275862068966,24.0,8.0,15.5,4.924428900898052,0.14706245641016383,0.5877061469265368,19.0,0.00768134438085177,3.0,5.0,0.0,6.0,1.0,1.0,36.0,6.0,9.0,0.5777777777777777,0.36492374727668847,0.027683197799992624,0.028371617180353647,26.0,9.0,0.16024366295454442,
13.0,0.4482758620689655,24.0,8.0,14.076923076923077,4.322775790223728,0.1789388213074454,0.628708901363272,20.5,0.01611638908436938,1.0,1.0,0.0,0.0,1.0,1.0,49.0,5.0,17.0,0.46153846153846156,0.3516483516483517,0.034640365723805494,0.034557117298627024,36.0,9.0,1.155575642788266,
21.0,0.7241379310344828,24.0,6.0,12.904761904761905,4.628120691359166,0.27092844414993633,0.7724137931034484,24.5,0.054385454447030794,2.0,3.0,2.0,2.0,2.0,2.0,115.0,7.0,52.0,0.44761904761904764,0.3104575163398693,0.053645041525529735,0.052384144431648,94.0,9.0,-2.3481215056669553,
22.0,0.7586206896551724,24.0,6.0,12.818181818181818,4.2707925987441255,0.2816365290235254,0.795131845841785,25.0,0.06087457971694426,1.0,1.0,4.0,0.0,3.0,3.0,124.0,7.0,56.0,0.44155844155844154,0.30486593843098314,0.055856218313672684,0.054437405569080034,102.0,9.0,1.341117928428643,
18.0,0.6206896551724138,24.0,6.0,13.555555555555555,4.775193099320955,0.24225962203835977,0.7114337568058076,23.0,0.03423150467485442,3.0,4.0,7.0,6.0,4.0,4.0,94.0,7.0,42.0,0.49673202614379086,0.3302090843547224,0.046356368610502394,0.04684498811383356,76.0,9.0,-0.11973846286653772,
16.0,0.5517241379310345,24.0,7.0,13.5625,4.401260472864563,0.21682463404679728,0.6758620689655173,22.0,0.025348932676518884,1.0,1.0,4.0,0.0,3.0,3.0,77.0,6.0,27.0,0.5083333333333333,0.3362586605080831,0.04158499075123827,0.0419400427990669,61.0,9.0,0.4039789151620633,
12.0,0.41379310344827586,24.0,9.0,16.083333333333332,4.34853104188325,0.18635673348750093,0.6144200626959248,20.0,0.006422361163740473,4.0,0.0,3.0,7.0,5.0,5.0,58.0,6.0,22.0,0.696969696969697,0.4004424778761062,0.031856845168197395,0.03601497647822282,46.0,9.0,0.5553816457080887,
13.0,0.4482758620689655,24.0,7.0,13.923076923076923,5.427303317650041,0.17634724692555265,0.628708901363272,20.5,0.018361482524044098,4.0,6.0,3.0,3.0,5.0,5.0,51.0,7.0,11.0,0.48717948717948717,0.3324175824175824,0.03498213323414216,0.03405529929899813,38.0,9.0,0.24646851958698313,
14.0,0.48275862068965514,24.0,10.0,15.0,3.909694909544003,0.2052188879017991,0.6436781609195402,21.0,0.012440316935390825,2.0,3.0,2.0,2.0,2.0,2.0,68.0,6.0,24.0,0.5934065934065934,0.3731007315700619,0.036480918500068696,0.03966724318999042,54.0,9.0,-1.577540817423542,
17.0,0.5862068965517241,22.0,6.0,13.058823529411764,4.290490006778934,0.2209824207725297,0.6931918656056587,22.5,0.04123841402166526,0.0,2.0,5.0,3.0,0.0,0.0,79.0,6.0,30.0,0.45588235294117646,0.3117206982543641,0.04424027559451614,0.04270478830803222,62.0,9.0,-1.0174731566253536,
13.0,0.4482758620689655,24.0,10.0,15.538461538461538,4.253783557753382,0.19382722833617458,0.628708901363272,20.5,0.0098862754650932,5.0,4.0,1.0,1.0,6.0,4.0,61.0,6.0,23.0,0.6153846153846154,0.3686200378071834,0.03425099987710539,0.037414387289228836,48.0,9.0,1.0871284317798808,
15.0,0.5172413793103449,22.0,7.0,13.133333333333333,4.240545038343801,0.19190044912181078,0.6593776282590413,21.5,0.026974441814343296,4.0,6.0,3.0,4.0,4.0,7.0,61.0,5.0,24.0,0.4380952380952381,0.3036093418259023,0.039679996872025156,0.03701386398692853,46.0,9.0,-0.45940635786395256,
11.0,0.3793103448275862,24.0,8.0,14.181818181818182,4.667453691997613,0.15140052657115832,0.6007662835249042,19.5,0.012451129877238253,5.0,4.0,1.0,1.0,6.0,4.0,38.0,6.0,10.0,0.4909090909090909,0.3371647509578544,0.030133626297397815,0.029229191305604432,27.0,9.0,1.1554230530222822,
8.0,0.27586206896551724,24.0,7.0,15.875,5.71046189025021,0.12023778360512258,0.5632183908045978,18.0,0.004125615763546798,3.0,0.0,1.0,5.0,4.0,4.0,24.0,5.0,5.0,0.5714285714285714,0.4052631578947368,0.023269665178728617,0.02320572853332902,16.0,7.0,2.0651327011194667,
13.0,0.4482758620689655,24.0,9.0,15.384615384615385,4.53259072697115,0.19184786645319266,0.628708901363272,20.5,0.011999658797688354,5.0,0.0,1.0,5.0,6.0,6.0,58.0,7.0,17.0,0.5769230769230769,0.3632911392405063,0.03434483380194031,0.03703215785793038,45.0,9.0,0.07995770281515635,
13.0,0.4482758620689655,22.0,7.0,12.615384615384615,4.0485222667510055,0.16050859595679612,0.628708901363272,20.5,0.022943634088954286,2.0,0.0,2.0,2.0,2.0,6.0,43.0,5.0,11.0,0.38461538461538464,0.3055141579731744,0.0352513988440509,0.030954703452758213,30.0,9.0,0.6126552951038975,
13.0,0.4482758620689655,24.0,10.0,14.0,3.7416573867739413,0.17790970336449088,0.628708901363272,20.5,0.013584916725310816,6.0,7.0,6.0,3.0,5.0,5.0,54.0,6.0,15.0,0.5256410256410257,0.34299516908212563,0.034569662525401904,0.03435063629242052,41.0,9.0,-0.0922350855845171,
13.0,0.4482758620689655,24.0,8.0,15.23076923076923,4.869905166567512,0.18823468593814793,0.628708901363272,20.5,0.014359935357472304,5.0,0.0,1.0,5.0,6.0,6.0,58.0,6.0,22.0,0.5769230769230769,0.34980988593155893,0.03453843238821487,0.03631038907137011,45.0,9.0,-1.5383685779471834,
10.0,0.3448275862068966,24.0,7.0,15.2,5.4,0.1454737086369165,0.5877061469265368,19.0,0.00864310839680298,4.0,4.0,3.0,1.0,4.0,4.0,35.0,5.0,10.0,0.5555555555555556,0.36444444444444446,0.027838382965388077,0.028065877616934885,25.0,8.0,-0.34116578784678386,
10.0,0.3448275862068966,24.0,6.0,15.0,4.898979485566356,0.14593944084467697,0.5877061469265368,19.0,0.007748935519871481,2.0,3.0,2.0,2.0,2.0,2.0,35.0,5.0,9.0,0.5555555555555556,0.37343927355278095,0.027767852122641476,0.028204722502192997,25.0,9.0,-1.2071071221122527,
11.0,0.3793103448275862,24.0,8.0,15.0,3.8138503569823694,0.1559414155968227,0.6007662835249042,19.5,0.008689107827038862,7.0,3.0,8.0,1.0,7.0,2.0,42.0,5.0,12.0,0.5636363636363636,0.338768115942029,0.02994068901404273,0.030056060063933347,31.0,9.0,-1.8543906659855032,
8.0,0.27586206896551724,17.0,10.0,12.5,2.345207879911715,0.09698873226611315,0.5632183908045978,18.0,0.007151653764954257,1.0,1.0,4.0,0.0,3.0,3.0,20.0,5.0,6.0,0.42857142857142855,0.29436325678496866,0.02353101092548112,0.018686037368321775,12.0,8.0,0.7752950232301851,


26.0,0.896551724137931,24.0,7.0,12.76923076923077,4.361613077641488,0.30204551379007133,0.90625,27.5,0.09111052466963798,0.0,4.0,5.0,4.0,0.0,0.0,161.0,7.0,81.0,0.4153846153846154,0.29769650079127835,0.061284778813474314,0.057481087206023615,135.0,9.0,0.1382087024349671,
9.0,0.3103448275862069,26.0,13.0,18.666666666666668,4.422166387140534,0.14272542325379867,0.5918367346938775,19.0,0.001811126749550395,6.0,3.0,0.0,2.0,1.0,1.0,38.0,7.0,6.0,0.8055555555555556,0.45913461538461536,0.023524931169682968,0.027104979371659045,29.0,9.0,-0.08178224374963738,
7.0,0.24137931034482757,26.0,10.0,18.285714285714285,6.0642815076546075,0.10734812537884542,0.5686274509803921,18.0,0.0027103370083665654,5.0,5.0,0.0,2.0,1.0,1.0,21.0,5.0,4.0,0.6666666666666666,0.43621399176954734,0.01962799485922884,0.02036274817216306,14.0,7.0,0.18227214566205935,
15.0,0.5172413793103449,26.0,10.0,15.266666666666667,5.18287779348715,0.1973680828813182,0.6744186046511628,22.0,0.019433631502597016,3.0,5.0,0.0,3.0,1.0,1.0,69.0,6.0,21.0,0.5142857142857142,0.34575955265610436,0.03680736221797999,0.03744360340628694,54.0,9.0,-1.2319472627507897,
8.0,0.27586206896551724,26.0,10.0,16.5,5.678908345800274,0.11052662795240581,0.58,18.5,0.005302257950041201,5.0,5.0,0.0,3.0,1.0,1.0,21.0,5.0,5.0,0.4642857142857143,0.39173553719008264,0.02192802116600644,0.020945165496596967,13.0,8.0,0.43969186028151586,
13.0,0.4482758620689655,26.0,10.0,16.923076923076923,4.827191227611456,0.18816484466043717,0.6444444444444445,21.0,0.010293941143694838,5.0,5.0,0.0,3.0,1.0,1.0,60.0,6.0,17.0,0.6025641025641025,0.4067098293113596,0.03214167953887109,0.0357146769501638,47.0,9.0,0.1340394193808965,
8.0,0.27586206896551724,26.0,10.0,16.75,6.199798383818623,0.11152657106972905,0.58,18.5,0.004539884034957926,3.0,5.0,0.0,1.0,1.0,1.0,24.0,5.0,6.0,0.5714285714285714,0.3821138211382114,0.021932454471116837,0.021114486099460268,16.0,8.0,-0.8690363376270912,
9.0,0.3103448275862069,26.0,10.0,17.555555555555557,4.6930471293206395,0.13432151260319172,0.5918367346938775,19.0,0.00421254306722287,5.0,2.0,0.0,3.0,1.0,1.0,30.0,6.0,5.0,0.5833333333333334,0.44110275689223055,0.023706126587807255,0.02549177242945871,21.0,9.0,0.3359134338472474,
10.0,0.3448275862068966,26.0,10.0,17.0,5.674504383644443,0.1443554245735732,0.6041666666666666,19.5,0.006027640941434044,4.0,5.0,0.0,0.0,1.0,1.0,37.0,5.0,12.0,0.6,0.4,0.02597636366669894,0.027396647585494677,27.0,9.0,-1.0990511870875013,
9.0,0.3103448275862069,26.0,10.0,17.555555555555557,5.356431463641755,0.1340676085514576,0.5918367346938775,19.0,0.003761044647744155,3.0,1.0,1.0,0.0,1.0,1.0,33.0,6.0,7.0,0.6666666666666666,0.4158415841584158,0.02373695557232752,0.025451403768154832,24.0,9.0,-0.06486805581267774,
13.0,0.4482758620689655,26.0,10.0,14.692307692307692,5.028910501132662,0.1667930196638546,0.6444444444444445,21.0,0.016374361817711573,1.0,0.0,0.0,5.0,1.0,1.0,48.0,5.0,16.0,0.44871794871794873,0.3503267973856209,0.03267586517650295,0.03166567233723571,35.0,9.0,-0.9850102162600075,
23.0,0.7931034482758621,26.0,7.0,13.347826086956522,4.778654491837942,0.2760595312113577,0.8285714285714286,26.0,0.06257022260716844,2.0,2.0,4.0,6.0,2.0,2.0,135.0,7.0,66.0,0.4426877470355731,0.30842745438748914,0.054598906150371274,0.05251230258032669,112.0,9.0,1.6020262163909158,
24.0,0.8275862068965517,26.0,7.0,13.083333333333334,4.572714972772983,0.28430671096583243,0.8529411764705882,26.5,0.0720354768384325,1.0,0.0,6.0,5.0,3.0,3.0,143.0,7.0,66.0,0.4311594202898551,0.3051948051948052,0.05677148189133935,0.05408776493818319,119.0,9.0,-1.4146095837552275,
19.0,0.6551724137931034,26.0,7.0,14.210526315789474,5.277349288465316,0.24078254110992903,0.7435897435897436,24.0,0.03610524669637969,3.0,1.0,7.0,1.0,4.0,4.0,104.0,7.0,46.0,0.49707602339181284,0.3357910906298003,0.04564737531733484,0.0458102547040872,85.0,9.0,0.002914672967274203,
18.0,0.6206896551724138,26.0,8.0,13.666666666666666,4.876246279442598,0.22304060366776754,0.725,23.5,0.03488153882242551,1.0,0.0,6.0,5.0,3.0,3.0,91.0,6.0,33.0,0.477124183006536,0.3330950679056469,0.043550081706431,0.04246336641233155,73.0,9.0,-0.10883926154787706,
14.0,0.48275862068965514,26.0,9.0,16.071428571428573,5.2707316612495045,0.19718000580595954,0.6590909090909091,21.5,0.011090585659551176,4.0,6.0,1.0,0.0,5.0,5.0,72.0,6.0,28.0,0.6373626373626373,0.3870116156282999,0.034369813379615394,0.03750290275463513,58.0,9.0,-0.5376692451970301,
15.0,0.5172413793103449,26.0,8.0,13.933333333333334,5.8931221681625505,0.185810746600532,0.6744186046511628,22.0,0.026287239033544452,4.0,6.0,3.0,7.0,5.0,5.0,62.0,7.0,14.0,0.44761904761904764,0.33096446700507615,0.03729255908319809,0.03533520344317302,47.0,9.0,0.34054427441080226,
17.0,0.5862068965517241,26.0,9.0,14.529411764705882,4.7044115348546365,0.22006271664125626,0.7073170731707317,23.0,0.024619790444913598,2.0,3.0,3.0,2.0,2.0,2.0,88.0,6.0,29.0,0.5220588235294118,0.3488372093023256,0.041046063814970626,0.041879332754158324,71.0,9.0,-1.2468292547900603,
16.0,0.5517241379310345,24.0,7.0,14.25,4.697073557013984,0.20426737692905622,0.6904761904761905,22.5,0.02434522920976123,0.0,4.0,5.0,4.0,6.0,0.0,77.0,6.0,29.0,0.5083333333333333,0.343585237258348,0.03910101416077963,0.03885948381970128,61.0,9.0,-0.3594176106939325,
13.0,0.4482758620689655,26.0,10.0,16.307692307692307,5.028910501132662,0.18156333931535024,0.6444444444444445,21.0,0.009801330306256415,5.0,7.0,2.0,1.0,4.0,4.0,61.0,6.0,23.0,0.6153846153846154,0.369994022713688,0.03228258103257404,0.03446303607864428,48.0,9.0,-1.1316089464432508,
15.0,0.5172413793103449,24.0,8.0,13.4,4.557777236036589,0.17949762610432823,0.6744186046511628,22.0,0.026686019235280318,4.0,1.0,3.0,0.0,0.0,7.0,55.0,5.0,21.0,0.38095238095238093,0.3305218766473379,0.037253290017794,0.03414355694276285,40.0,9.0,-1.6126244740516542,
10.0,0.3448275862068966,26.0,9.0,15.8,5.15363949069005,0.13702982248835563,0.6041666666666666,19.5,0.006712738547713917,5.0,2.0,2.0,1.0,4.0,4.0,35.0,6.0,8.0,0.5555555555555556,0.3770139634801289,0.02604957005954069,0.026026374849671872,25.0,9.0,0.7193541399771495,
10.0,0.3448275862068966,26.0,8.0,15.7,6.165225056719342,0.13592957159750782,0.6041666666666666,19.5,0.007493744624286496,3.0,1.0,1.0,1.0,4.0,4.0,34.0,6.0,7.0,0.5333333333333333,0.37987012987012986,0.026237474298468573,0.025829169555031454,24.0,9.0,-0.6097974039508139,
