degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
26.0,0.896551724137931,24.0,4.0,13.0,4.9613893835683385,0.2957103657226024,0.90625,27.5,0.10221799273523413,0.0,7.0,3.0,1.0,0.0,0.0,165.0,9.0,45.0,0.4276923076923077,0.31872370266479666,0.06171432443766231,0.0570440961484905,139.0,9.0,-0.24027655553471336,
6.0,0.20689655172413793,26.0,11.0,17.0,5.477225575051661,0.08101491251239067,0.5576923076923077,17.5,0.0020093890783545957,2.0,0.0,0.0,4.0,1.0,1.0,15.0,5.0,3.0,0.6,0.39156626506024095,0.017717315804271713,0.015551655652292086,9.0,6.0,1.3970149134114969,
7.0,0.24137931034482757,26.0,14.0,19.142857142857142,4.356557337707688,0.10932076962684029,0.5686274509803921,18.0,0.00099019754192168,5.0,1.0,0.0,0.0,1.0,1.0,24.0,6.0,2.0,0.8095238095238095,0.5072463768115942,0.0194046015244939,0.021038134191229487,17.0,7.0,0.8577661396181363,
4.0,0.13793103448275862,26.0,14.0,20.0,4.242640687119285,0.06206038182523696,0.5370370370370371,16.5,0.0006596851424437632,1.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,2.0,0.5,0.5416666666666666,0.013327986838557723,0.011903474029838138,3.0,4.0,-0.06994567045738756,
16.0,0.5517241379310345,26.0,10.0,16.25,4.943429983321297,0.2183607099461116,0.6904761904761905,22.5,0.01663370154749465,7.0,6.0,0.0,10.0,1.0,1.0,92.0,9.0,14.0,0.6333333333333333,0.4032,0.038511341333629004,0.042064433049326846,76.0,9.0,-0.849952409134355,
9.0,0.3103448275862069,26.0,10.0,16.666666666666668,5.597618541248888,0.11973172003939636,0.5918367346938775,19.0,0.006161572417730053,2.0,0.0,0.0,4.0,1.0,1.0,28.0,5.0,7.0,0.5277777777777778,0.3745271122320303,0.024055256462186907,0.022986764112417186,19.0,9.0,-0.3804540031393216,
11.0,0.3793103448275862,26.0,10.0,16.454545454545453,5.3319557449509745,0.15211104968734607,0.6170212765957447,20.0,0.00685558967578672,4.0,4.0,0.0,2.0,1.0,1.0,47.0,7.0,7.0,0.6545454545454545,0.4243219597550306,0.028010652599564083,0.029314187563801615,36.0,9.0,0.1597838580146782,
8.0,0.27586206896551724,26.0,12.0,19.625,4.357106264483344,0.12509063806321208,0.58,18.5,0.0019117376875997564,6.0,3.0,0.0,0.0,1.0,1.0,29.0,7.0,3.0,0.75,0.49402985074626865,0.021523153354484726,0.024039157216020016,21.0,8.0,-1.0381434760370891,
9.0,0.3103448275862069,26.0,10.0,16.555555555555557,5.209203630991574,0.1207044895996352,0.5918367346938775,19.0,0.004781302441400964,6.0,8.0,0.0,2.0,1.0,1.0,31.0,6.0,7.0,0.6111111111111112,0.39197930142302717,0.023933322995701046,0.023187699586047467,22.0,9.0,0.6640295311525299,
12.0,0.41379310344827586,26.0,10.0,17.416666666666668,5.05731044023292,0.17168224679215116,0.6304347826086957,20.5,0.007110541346994549,7.0,2.0,0.0,10.0,1.0,1.0,57.0,8.0,8.0,0.6818181818181818,0.43142660234321156,0.030052110189307275,0.03303258543573916,45.0,9.0,-0.8258646969730177,
10.0,0.3448275862068966,26.0,11.0,18.9,4.323193264243457,0.15368311478023206,0.6041666666666666,19.5,0.0034414613848111385,7.0,2.0,0.0,2.0,1.0,1.0,44.0,8.0,4.0,0.7555555555555555,0.48365384615384616,0.02566065181424059,0.029565565897109083,34.0,9.0,-0.04995727548742857,
20.0,0.6896551724137931,26.0,4.0,13.55,6.012279101971232,0.23703151617819565,0.7631578947368421,24.5,0.05218058487762919,3.0,8.0,4.0,3.0,2.0,2.0,110.0,9.0,20.0,0.47368421052631576,0.3481198589894242,0.04869712231240106,0.04574639714369287,90.0,9.0,-1.3093845909720647,
24.0,0.8275862068965517,26.0,7.0,13.791666666666666,4.778242064004524,0.28698439115546,0.8529411764705882,26.5,0.06324782907295225,1.0,5.0,5.0,7.0,3.0,3.0,158.0,9.0,41.0,0.4855072463768116,0.335889872173058,0.056417775212652496,0.05533461924916363,134.0,9.0,0.32630304651897685,
20.0,0.6896551724137931,26.0,4.0,14.25,5.673402858955108,0.24703135564565074,0.7631578947368421,24.5,0.04588540222776675,4.0,4.0,2.0,9.0,4.0,4.0,117.0,9.0,21.0,0.5105263157894737,0.36021354313009274,0.04814952446281323,0.04764650615814242,97.0,9.0,-0.9589701873893072,
