degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
24.0,0.8275862068965517,21.0,5.0,13.75,4.418238713937187,0.2837971422965692,0.8529411764705882,26.5,0.07033246925488303,0.0,6.0,6.0,5.0,0.0,0.0,150.0,8.0,64.0,0.45652173913043476,0.32151898734177214,0.05529452141901141,0.05391725692332975,126.0,9.0,-0.5202083457467731,
11.0,0.3793103448275862,24.0,10.0,15.727272727272727,4.633689068136239,0.14190002058669712,0.6170212765957447,20.0,0.010091957167080319,1.0,2.0,0.0,2.0,1.0,1.0,38.0,6.0,11.0,0.4909090909090909,0.36768558951965064,0.027661305257030505,0.026908355490471842,27.0,9.0,-0.5835889253161127,
11.0,0.3793103448275862,24.0,9.0,16.545454545454547,4.812174642860381,0.15089233649803388,0.6170212765957447,20.0,0.00855783515882038,6.0,7.0,0.0,0.0,1.0,1.0,45.0,7.0,7.0,0.6181818181818182,0.39507221750212407,0.02746500556499371,0.028641097232723785,34.0,9.0,0.1723188021634688,
16.0,0.5517241379310345,24.0,9.0,14.9375,4.5065057139650895,0.20034427625673595,0.6904761904761905,22.5,0.024208758537576272,5.0,1.0,0.0,7.0,1.0,1.0,77.0,7.0,24.0,0.5083333333333333,0.3440366972477064,0.0380667092782085,0.03801774752784627,61.0,9.0,-0.40403546507877186,
12.0,0.41379310344827586,24.0,10.0,16.75,4.303583777891785,0.16721011414629774,0.6304347826086957,20.5,0.006175344906872001,7.0,7.0,0.0,7.0,1.0,1.0,58.0,8.0,13.0,0.696969696969697,0.41022001419446413,0.029370682622672138,0.03174610780371498,46.0,9.0,-1.9225236258811973,
5.0,0.1724137931034483,24.0,13.0,18.2,3.867815921162743,0.07264005548235866,0.5471698113207547,17.0,0.000994934184589357,1.0,0.0,0.0,0.0,1.0,1.0,11.0,4.0,3.0,0.6,0.4188034188034188,0.015133010114030974,0.013765678340798861,6.0,5.0,-0.7129108101371,
9.0,0.3103448275862069,24.0,10.0,17.555555555555557,4.499657051403686,0.129713142414144,0.5918367346938775,19.0,0.0030625402238702725,6.0,5.0,0.0,0.0,1.0,1.0,35.0,6.0,9.0,0.7222222222222222,0.4267834793491865,0.023233882045341575,0.02462120168813116,26.0,9.0,0.7358051934302834,
12.0,0.41379310344827586,24.0,12.0,17.333333333333332,3.815174380753199,0.1705177326036915,0.6304347826086957,20.5,0.005432768517743887,5.0,0.0,0.0,0.0,1.0,1.0,57.0,6.0,20.0,0.6818181818181818,0.41023890784982936,0.029272832699630536,0.032354899294978194,45.0,9.0,2.429917168625521,
9.0,0.3103448275862069,24.0,10.0,19.0,3.559026084010437,0.1395896157571241,0.5918367346938775,19.0,0.0017850752148781703,6.0,0.0,0.0,7.0,1.0,1.0,38.0,7.0,6.0,0.8055555555555556,0.48263473053892214,0.023011034518245144,0.02649168016146704,29.0,9.0,1.4357929017857531,
20.0,0.6896551724137931,24.0,5.0,14.2,4.975942121849892,0.2435897207329841,0.7631578947368421,24.5,0.04453399296379591,2.0,5.0,1.0,3.0,2.0,2.0,112.0,8.0,35.0,0.4842105263157895,0.33702268954067516,0.046820798427728294,0.04627869423916689,92.0,9.0,0.02552673738268693,
20.0,0.6896551724137931,24.0,9.0,14.7,4.220189569201838,0.25211821635231124,0.7631578947368421,24.5,0.03302672286662435,3.0,4.0,5.0,4.0,3.0,3.0,118.0,8.0,38.0,0.5157894736842106,0.3584598698481562,0.04620609599786345,0.047914024417517354,98.0,9.0,1.3128002106120311,
20.0,0.6896551724137931,24.0,9.0,14.9,4.369210454990695,0.25375608175847025,0.7631578947368421,24.5,0.03508570999334546,4.0,3.0,3.0,6.0,4.0,4.0,121.0,8.0,46.0,0.531578947368421,0.35286284953395475,0.0461992186157438,0.04820502063121261,101.0,9.0,0.3988545784273794,
21.0,0.7241379310344828,24.0,9.0,14.142857142857142,4.3346413515143905,0.2535357671197656,0.7837837837837838,25.0,0.04543094767848462,1.0,2.0,4.0,2.0,5.0,5.0,124.0,8.0,45.0,0.49047619047619045,0.32816795801049736,0.048620593220921174,0.04815271212059827,103.0,9.0,-1.9870989527759508,
19.0,0.6551724137931034,24.0,5.0,13.736842105263158,4.854104126386876,0.22348311107436655,0.7435897435897436,24.0,0.04397940592521874,3.0,4.0,5.0,4.0,3.0,3.0,97.0,6.0,37.0,0.45614035087719296,0.32158590308370044,0.044946588905073775,0.042452276528755536,78.0,9.0,-0.6396289129621517,
