degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
23.0,0.7931034482758621,28.0,5.0,14.130434782608695,6.576006108019001,0.24048830795142526,0.8285714285714286,26.0,0.06784111014730666,2.0,0.0,2.0,2.0,0.0,0.0,140.0,8.0,41.0,0.4624505928853755,0.37819823693829285,0.051981122077424,0.046400008776465614,117.0,11.0,-0.20327410958549882,
13.0,0.4482758620689655,28.0,12.0,19.153846153846153,4.588382551386689,0.1714071130267153,0.6444444444444445,21.0,0.004884963939928939,4.0,3.0,0.0,1.0,1.0,1.0,70.0,8.0,12.0,0.7307692307692307,0.5033185840707964,0.02997759897419648,0.032964517814495345,57.0,11.0,0.8559491087627255,
12.0,0.41379310344827586,28.0,12.0,20.0,4.654746681256314,0.16470373748429087,0.6304347826086957,20.5,0.002726620094392975,7.0,7.0,0.0,7.0,1.0,1.0,65.0,8.0,13.0,0.803030303030303,0.5407312379730597,0.02796049827287912,0.03167742174055913,53.0,11.0,0.43473135868233076,
8.0,0.27586206896551724,28.0,12.0,21.25,4.789311015167004,0.11521138857783994,0.58,18.5,0.0008051083822408686,5.0,1.0,0.0,0.0,1.0,1.0,32.0,7.0,4.0,0.8571428571428571,0.5877192982456141,0.02024560028561295,0.02215610007575919,24.0,8.0,-0.0745188262877285,
9.0,0.3103448275862069,28.0,13.0,21.22222222222222,4.4416657980681515,0.12927340404269466,0.5918367346938775,19.0,0.0011978737996368278,6.0,1.0,0.0,1.0,1.0,1.0,39.0,7.0,5.0,0.8333333333333334,0.5917901938426454,0.022157791107215864,0.024854515116861438,30.0,9.0,0.6862053771732558,
7.0,0.24137931034482757,28.0,13.0,20.857142857142858,4.940461847368738,0.0975464657711637,0.5686274509803921,18.0,0.0010841170323928945,5.0,1.0,0.0,0.0,1.0,1.0,23.0,6.0,3.0,0.7619047619047619,0.5452793834296724,0.018446597094763657,0.018737120876075677,16.0,7.0,-0.06436840250613063,
5.0,0.1724137931034483,23.0,13.0,19.0,4.1952353926806065,0.06367578716376683,0.5471698113207547,17.0,0.0006461518776789712,0.0,1.0,0.0,1.0,1.0,1.0,12.0,4.0,4.0,0.7,0.4476987447698745,0.014757527268576208,0.012233913578578285,7.0,5.0,0.537263021964875,
10.0,0.3448275862068966,28.0,13.0,18.9,5.048762224545735,0.12940320082084283,0.6041666666666666,19.5,0.0030056014046161827,3.0,3.0,0.0,6.0,1.0,1.0,43.0,6.0,9.0,0.7333333333333333,0.48272552783109407,0.024345460445534962,0.024881600292788277,33.0,10.0,-0.07581385559855217,
14.0,0.48275862068965514,28.0,12.0,18.785714285714285,5.016808482186536,0.18256126196176756,0.6590909090909091,21.5,0.006443770486420214,6.0,1.0,0.0,7.0,1.0,1.0,80.0,8.0,16.0,0.7252747252747253,0.4949446316803081,0.03194816129342551,0.035126723122678796,66.0,11.0,-1.008390894925369,
5.0,0.1724137931034483,28.0,13.0,20.2,5.2687759489277965,0.06695629605663975,0.5471698113207547,17.0,0.0006754739513360204,1.0,1.0,0.0,1.0,1.0,1.0,12.0,4.0,3.0,0.7,0.5102040816326531,0.014725303420496837,0.012861655718449065,7.0,5.0,0.6964155511501997,
10.0,0.3448275862068966,28.0,13.0,20.8,4.237924020083418,0.14253570387444317,0.6041666666666666,19.5,0.0013778662210085595,5.0,2.0,0.0,0.0,1.0,1.0,48.0,8.0,6.0,0.8444444444444444,0.5855018587360595,0.02399624612160493,0.027416280982419185,38.0,10.0,1.1190896179760688,
11.0,0.3793103448275862,28.0,12.0,19.727272727272727,5.064868464430589,0.14950704695885084,0.6170212765957447,20.0,0.0028283314645772516,8.0,2.0,0.0,7.0,1.0,1.0,54.0,7.0,10.0,0.7818181818181819,0.5385814497272019,0.026040562679535934,0.028759510456261628,43.0,11.0,-0.6988648645760398,
5.0,0.1724137931034483,28.0,21.0,24.0,2.3664319132398464,0.07880757930013278,0.5471698113207547,17.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,15.0,6.0,1.0,1.0,0.6988416988416989,0.014461616615212777,0.015130062914784895,10.0,5.0,1.4062250715512064,
