degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.2069559100824396,0.1306715063520871,4.533333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.027718464839393546,0.042363414462362414,0.0,1.0,0.6373250168248182,
3.0,0.10344827586206896,3.0,1.0,1.6666666666666667,0.9428090415820634,0.3520184778984276,0.15047021943573669,5.95,0.05172413793103448,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.07661256156364057,0.1534107858451559,0.0,1.0,0.03267428388478303,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.0901855373444599,0.09549071618037136,3.7095238095238097,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.03035626373882261,0.018192136543705856,0.0,1.0,0.23182197739195307,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.4208452100920128,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.0386880798685616,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.5676966417697276,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,1.5673203395057125,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.026015001152142246,0.07758620689655173,2.5,0.0049261083743842365,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.06286903699927786,-0.0,0.0,1.0,-0.6443234185138098,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.5838189069616648,
2.0,0.06896551724137931,3.0,2.0,2.5,0.5,0.2858133398679608,0.15047021943573669,5.533333333333332,0.04926108374384237,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.05061695292457455,0.12352876097291382,0.0,1.0,1.256942127714293,
3.0,0.10344827586206896,3.0,1.0,2.3333333333333335,0.9428090415820634,0.46961349229147353,0.1839080459770115,6.583333333333332,0.09605911330049262,0.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.07218905751413551,0.20383173419318446,0.0,1.0,-0.7266176984346737,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.31150716835518455,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.34326877021493524,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,0.0008777890382408755,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.04842615012106537,-4.148296909791127e-18,0.0,1.0,0.5400844684904444,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.19839133775571213,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.016078154930181082,0.05172413793103448,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.03398326324285289,-4.148296909791127e-18,0.0,1.0,-1.026641662066039,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.1550866357514658,0.1128526645768025,4.183333333333334,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.028971801777519634,0.03188416528701824,0.0,1.0,-1.436909619074968,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,0.0008777890382408755,0.034482758620689655,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.04842615012106537,-2.8899118785146312e-18,0.0,1.0,0.14286937422822643,
3.0,0.10344827586206896,3.0,1.0,2.0,0.816496580927726,0.3692755189368517,0.15517241379310345,6.116666666666666,0.07142857142857142,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.07506294405279884,0.07520414350439689,0.0,1.0,-0.2039345733465422,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,1.7509088806234083,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,2.251785693407558,
0.0,0.0,0.0,0.0,0.0,0.0,2.1430396441427626e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.23926453439716097,
2.0,0.06896551724137931,3.0,1.0,2.0,1.0,0.2033318157402298,0.12111017661900755,4.9333333333333345,0.027093596059113302,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.05433264440355763,0.08753153605399877,0.0,1.0,-1.7629315296056771,
3.0,0.10344827586206896,3.0,2.0,2.6666666666666665,0.4714045207910317,0.48851810220831443,0.19098143236074272,6.749999999999999,0.11083743842364532,1.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.07093953327397688,0.09992120765541565,0.0,1.0,-1.177169271101467,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.16315560861959214,0.11547714514835605,4.266666666666667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.028530786459078993,0.07048176003556939,0.0,1.0,0.8135170419666563,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.07040571003695101,0.0936890045543266,3.6095238095238096,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.030518401201665005,0.02988202487224208,0.0,1.0,0.6765305884713516,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.026015001152142246,0.07758620689655173,2.5,0.0049261083743842365,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.06286903699927786,8.042024365567768e-18,0.0,1.0,0.11744769712212914,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.1550866357514658,0.1128526645768025,4.183333333333334,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.028971801777519634,0.03188416528701824,0.0,1.0,0.3395317153859616,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.15805688869824766,0.11822660098522167,4.733333333333334,0.027093596059113302,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.05471873804716662,0.03188416528701825,0.0,1.0,-0.566176421200528,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.016078154930181082,0.05172413793103448,1.8333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.03398326324285289,-3.46010965330315e-18,0.0,1.0,1.4426239708050113,


1.0,0.034482758620689655,4.0,4.0,4.0,0.0,0.25182231927675924,0.09549071618037136,3.166666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.026322892731474062,0.10434197849144984,0.0,1.0,0.661773682641625,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,0.0006373251433383193,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.04842615012106537,-2.954068257998996e-19,0.0,1.0,-0.15383312050773484,
0.0,0.0,0.0,0.0,0.0,0.0,1.5559695882283186e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,-1.4825066263911388,
0.0,0.0,0.0,0.0,0.0,0.0,1.5559695882283186e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,1.2120662965115303,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,0.0006373251433383193,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.04842615012106537,-3.274096786737749e-18,0.0,1.0,0.6712664618448586,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,0.0006373251433383193,0.034482758620689655,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.04842615012106537,-1.1088605717936075e-18,0.0,1.0,-0.03833070132156512,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.005206429839170777,0.04597701149425287,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.03730288095985923,-0.0,0.0,1.0,-0.5994002658097671,
0.0,0.0,0.0,0.0,0.0,0.0,1.5559695882283186e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.6618148945841337,
0.0,0.0,0.0,0.0,0.0,0.0,1.5559695882283186e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,0.03330380965777917,
4.0,0.13793103448275862,3.0,1.0,2.0,0.7071067811865476,0.6123852847934016,0.15517241379310345,5.0,0.027093596059113302,0.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,0.16666666666666666,0.0,0.08968930560309049,0.25364573322553235,1.0,2.0,2.179537684472925,
0.0,0.0,0.0,0.0,0.0,0.0,1.5559695882283186e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007263922518159809,-0.0,0.0,0.0,-0.2663531078222633,
