degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.06242426643947346,0.08841732979664015,3.35,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.027428696551513507,0.03423217494557935,0.0,1.0,-0.360928514312245,
4.0,0.13793103448275862,3.0,1.0,1.5,0.8660254037844386,0.11458449600946244,0.1471264367816092,5.583333333333333,0.04433497536945813,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.09200359881234,3.296908358035078e-17,0.0,1.0,-0.2071369477643726,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,1.1260569063646263e-08,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.04310344827586207,3.7351329164472096e-19,0.0,1.0,-1.4001303886659415,
4.0,0.13793103448275862,4.0,1.0,2.0,1.224744871391589,0.535019584852008,0.19157088122605367,6.666666666666666,0.07881773399014778,0.0,0.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.08734629854940339,0.07934485531587185,0.0,1.0,-0.35255310871213436,
1.0,0.034482758620689655,4.0,4.0,4.0,0.0,0.2229097844620568,0.12315270935960593,4.283333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.025254915258725828,0.033059097366213056,0.0,1.0,1.4479368016068401,
0.0,0.0,0.0,0.0,0.0,0.0,1.3109027714988057e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006465517241379311,-0.0,0.0,0.0,0.30992377068452176,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.03395620177905049,0.10031347962382445,3.9166666666666665,0.017241379310344827,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.04991420990367851,-1.958614513057856e-17,0.0,1.0,0.4962718084290695,
3.0,0.10344827586206896,4.0,1.0,2.3333333333333335,1.247219128924647,0.098867682009869,0.15763546798029557,5.333333333333333,0.046798029556650245,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0677489718818796,-2.0154440701159904e-17,0.0,1.0,1.6827847908595377,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.1144272562330234,0.09852216748768473,3.6166666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.026925298675567415,0.06275790103274424,0.0,1.0,0.5172460206665606,
2.0,0.06896551724137931,4.0,1.0,2.5,1.5,0.2711912593534316,0.13262599469496023,4.95,0.022167487684729065,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.048141977770358654,0.04021986640730647,0.0,1.0,-0.5881743557087314,
