degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.08796815757011943,0.09939148073022312,3.9535714285714287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.025663141686490715,0.02574483485471714,0.0,1.0,-0.4678101790700069,
3.0,0.10344827586206896,3.0,2.0,2.3333333333333335,0.4714045207910317,0.4199189271586962,0.1826654240447344,6.949999999999999,0.12192118226600986,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0576939279304885,0.1513443143830561,0.0,2.0,0.8232400464043457,
0.0,0.0,0.0,0.0,0.0,0.0,6.539330362866429e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006237006237006238,-0.0,0.0,0.0,-1.1343806226682944,
2.0,0.06896551724137931,3.0,2.0,2.5,0.5,0.2791786874481021,0.16091954022988506,5.983333333333333,0.05541871921182266,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.03982306274403405,0.07758340444573951,0.0,2.0,-0.5766597704209966,
2.0,0.06896551724137931,3.0,2.0,2.5,0.5,0.18888411078675005,0.1325219743069642,5.542857142857143,0.0332512315270936,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.04087297846743668,0.05780838409027781,0.0,2.0,-0.7685418894843303,
2.0,0.06896551724137931,3.0,1.0,2.0,1.0,0.19568411847587142,0.12288401253918495,5.20952380952381,0.03201970443349754,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0457068819725346,0.07272271269417899,0.0,1.0,-0.47382594001453376,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.11726536465263687,0.06206896551724138,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.023519084520835627,-1.8623034334008455e-17,0.0,1.0,0.18076711092347408,
2.0,0.06896551724137931,3.0,2.0,2.5,0.5,0.3051242457644271,0.16896551724137931,6.116666666666667,0.07019704433497537,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.03970983874364292,0.08387656752645097,0.0,2.0,1.4275874864382818,
0.0,0.0,0.0,0.0,0.0,0.0,6.539330362866429e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006237006237006238,-0.0,0.0,0.0,-0.07076519352433794,
2.0,0.06896551724137931,2.0,2.0,2.0,0.0,0.15345588258989315,0.1206896551724138,5.277380952380953,0.02586206896551724,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.04107332061637829,0.03592738661605422,0.0,2.0,0.5601707952214648,
