degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.013591878667296256,0.05172413793103448,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.030248033877797946,-4.956974745527694e-17,0.0,1.0,-1.0134338420054843,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.021992121654649966,0.07758620689655173,2.5,0.0049261083743842365,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.055958862673926205,-4.956974745527694e-17,0.0,1.0,0.377983140280658,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.3458398959489418,0.06896551724137931,2.333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.028298749201120577,0.48761561376008783,0.0,1.0,0.432360288238469,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.0007369243831830432,0.04597701149425287,1.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.03320051138532151,1.6523249151758982e-17,0.0,1.0,0.4998017561932587,
0.0,0.0,0.0,0.0,0.0,0.0,2.458760298185028e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006465517241379311,0.0,0.0,0.0,-0.0534374238772033,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.013591878667296256,0.05172413793103448,1.8333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.030248033877797946,-5.67986689591715e-17,0.0,1.0,1.0563840010917103,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.10224602597784695,0.07881773399014778,2.8333333333333335,0.007389162561576354,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.05300638516640263,-4.956974745527694e-17,0.0,1.0,0.42103102700503686,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.2646943978172057,0.06130268199233716,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.028951714480320814,-0.19472239494663543,0.0,1.0,-1.1608378168898965,
2.0,0.06896551724137931,2.0,2.0,2.0,0.0,0.11806354124375883,0.09195402298850575,3.0,0.009852216748768473,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.05151947690256292,8.26162457587949e-17,0.0,1.0,1.316459523643959,
2.0,0.06896551724137931,3.0,1.0,2.0,1.0,0.4890914722956256,0.09195402298850575,3.0,0.007389162561576354,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.052906972644263944,0.6895926142043971,0.0,1.0,1.3045136199519172,
0.0,0.0,0.0,0.0,0.0,0.0,2.458760298185028e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006465517241379311,0.0,0.0,0.0,-0.33476236564399875,
2.0,0.06896551724137931,1.0,1.0,1.0,0.0,0.001042168457140887,0.06896551724137931,2.0,0.0024630541871921183,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0629093220569432,0.0,0.0,1.0,-0.7741571896500621,
0.0,0.0,0.0,0.0,0.0,0.0,2.458760298185028e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006465517241379311,0.0,0.0,0.0,-0.35114790362804604,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.0007369243831830432,0.04597701149425287,1.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.03320051138532151,0.0,0.0,1.0,1.1605990745691392,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.3458398959489418,0.06896551724137931,2.333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.028298749201120577,0.48761561376008783,0.0,1.0,-0.15027072135735906,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.0590317706218794,0.05517241379310345,2.083333333333333,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.028992497071971112,4.956974745527694e-17,0.0,1.0,-0.05135324609724642,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.10224602597784695,0.07881773399014778,2.833333333333333,0.007389162561576354,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.05300638516640263,-5.3700559743216685e-17,0.0,1.0,1.0715785288130157,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.0007369243831830432,0.04597701149425287,1.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.03320051138532151,1.6523249151758982e-17,0.0,1.0,-0.34215699881344774,
2.0,0.06896551724137931,1.0,1.0,1.0,0.0,0.001042168457140887,0.06896551724137931,2.0,0.0024630541871921183,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0629093220569432,0.0,0.0,1.0,2.1063051046947576,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,6.758588844421058e-07,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.04310344827586207,8.261624575879491e-18,0.0,1.0,0.9445620460016254,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.0007369243831830432,0.04597701149425287,1.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.03320051138532151,0.0,0.0,1.0,-1.140402542625007,
0.0,0.0,0.0,0.0,0.0,0.0,2.458760298185028e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006465517241379311,0.0,0.0,0.0,-0.3396271242434939,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,6.758588844421058e-07,0.034482758620689655,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.04310344827586207,1.0327030719849364e-18,0.0,1.0,0.1236234018803195,
