degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.12879879890419915,0.06533575317604355,2.533333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.03281652899378059,-0.02762615168834991,0.0,1.0,-1.0443030942140625,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.13935242358691508,0.06631299734748011,2.416666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.033016091756025434,4.611094662992125e-17,0.0,1.0,0.6299848299683352,
3.0,0.10344827586206896,2.0,1.0,1.6666666666666667,0.4714045207910317,0.4741927137190363,0.12413793103448276,4.333333333333333,0.027093596059113302,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.08281612920832339,0.6539609396620591,0.0,1.0,-0.40614599128385226,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,0.0005794226629580682,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0505050505050505,-6.969225221759983e-18,0.0,1.0,-1.1327305657470776,
2.0,0.06896551724137931,1.0,1.0,1.0,0.0,0.014212556435867565,0.06896551724137931,2.0,0.0024630541871921183,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0737068381892995,-5.387453499402909e-17,0.0,1.0,-2.0755068064618234,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,-0.6602535895912612,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.24067348017302823,0.08275862068965517,2.916666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.031041325118099077,-0.05192018176450909,0.0,1.0,-0.9994247535561234,
3.0,0.10344827586206896,2.0,1.0,1.6666666666666667,0.4714045207910317,0.38071364988583106,0.12315270935960593,4.0,0.019704433497536946,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.08548296800310064,1.317576432870957e-16,0.0,1.0,-0.29280718784734394,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,1.1142762271169533,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,0.0005794226629580682,0.034482758620689655,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0505050505050505,-9.435769589852415e-18,0.0,1.0,0.14838613582598958,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,1.6255349563689514,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,0.1984702706343879,
2.0,0.06896551724137931,3.0,1.0,2.0,1.0,0.26920647444328344,0.09578544061302684,3.3333333333333335,0.009852216748768473,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.059859609835924366,3.051144064488131e-16,0.0,1.0,0.312394652976208,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,-1.1560607811470698,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.13935242358691508,0.06631299734748011,2.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.033016091756025434,4.6967543328127924e-17,0.0,1.0,-1.7130658047913307,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,-1.6543318032170184,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,0.38893151568231255,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,-0.2120943429759709,
2.0,0.06896551724137931,3.0,1.0,2.0,1.0,0.26920647444328344,0.09578544061302684,3.333333333333333,0.009852216748768473,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.059859609835924366,2.855065102050004e-16,0.0,1.0,-0.6696227369874641,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.010049795033800409,0.04597701149425287,1.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.038904156662926015,1.9565304624682849e-16,0.0,1.0,1.2905429111880227,
1.0,0.034482758620689655,3.0,3.0,3.0,0.0,0.19707061627478112,0.07836990595611286,2.6666666666666665,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.031795931843302754,2.1440035234317384e-16,0.0,1.0,0.27926870128790676,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.010049795033800409,0.04597701149425287,1.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.038904156662926015,1.9565304624682849e-16,0.0,1.0,-0.16727880450907123,
2.0,0.06896551724137931,3.0,2.0,2.5,0.5,0.36947227023593915,0.1128526645768025,3.8333333333333335,0.019704433497536946,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.05628209653612208,-0.079546333452859,0.0,1.0,-0.8973297453157031,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,0.7048937635532916,
2.0,0.06896551724137931,3.0,1.0,2.0,1.0,0.3240277394834111,0.09549071618037136,3.5833333333333335,0.012315270935960592,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.058678463687951266,-0.06995187165959464,0.0,1.0,0.7371274592539587,
2.0,0.06896551724137931,2.0,1.0,1.5,0.5,0.25325585336817014,0.08866995073891625,3.4166666666666665,0.012315270935960592,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.05938770292317912,0.3479653480279123,0.0,1.0,-0.167169777297344,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,-0.6191034584457846,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.16437557674680228,0.06896551724137931,2.6166666666666663,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.032513107067898034,0.2271182508753399,0.0,1.0,-0.9208463350566066,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,-0.23146426889678945,
0.0,0.0,0.0,0.0,0.0,0.0,8.841288192109195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007575757575757578,-0.0,0.0,0.0,0.6948590744005181,


1.0,0.034482758620689655,1.0,1.0,1.0,0.0,1.9915451571080646e-07,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.04158004158004158,-7.221455795574357e-18,0.0,1.0,-0.47450338924017965,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,1.9915451571080646e-07,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.04158004158004158,-0.0,0.0,1.0,-1.1442633318602504,
1.0,0.034482758620689655,2.0,2.0,2.0,0.0,0.21615699704930577,0.06631299734748011,2.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.027181647266914917,0.08887777345747624,0.0,1.0,-1.667847583081851,
2.0,0.06896551724137931,2.0,2.0,2.0,0.0,0.15706055367754276,0.09549071618037136,3.583333333333333,0.019704433497536946,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.04653264516689819,1.4047120668899799e-16,0.0,1.0,-0.35816236235332866,
0.0,0.0,0.0,0.0,0.0,0.0,7.245199074925275e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006237006237006238,-0.0,0.0,0.0,0.09165485292568684,
0.0,0.0,0.0,0.0,0.0,0.0,7.245199074925275e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.006237006237006238,-0.0,0.0,0.0,-0.036111454976753866,
1.0,0.034482758620689655,1.0,1.0,1.0,0.0,1.9915451571080646e-07,0.034482758620689655,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.04158004158004158,1.7649730269891987e-18,0.0,1.0,-0.7499859857930912,
