k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.504
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.426
26,0.492
k , Test Accuracy
k , Test Accuracy
4,0.311
6,0.444
8,0.35
26,0.45
k , Test Accuracy
k , Test Accuracy
6,0.445
26,0.466
k , Test Accuracy
k , Test Accuracy
6,0.472
26,0.45
k , Test Accuracy
k , Test Accuracy
6,0.46
26,0.538
