k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.293
k , Test Accuracy
k , Test Accuracy
6,0.192
k , Test Accuracy
k , Test Accuracy
6,0.356
k , Test Accuracy
k , Test Accuracy
6,0.415
k , Test Accuracy
k , Test Accuracy
6,0.356
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.716
k , Test Accuracy
k , Test Accuracy
6,0.697
k , Test Accuracy
k , Test Accuracy
6,0.683
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
26,0.771
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
26,0.786
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.692
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.736
k , Test Accuracy
k , Test Accuracy
26,0.601
k , Test Accuracy
k , Test Accuracy
6,0.664
26,0.579
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
4,0.574
6,0.454
8,0.502
26,0.605
k , Test Accuracy
k , Test Accuracy
6,0.642
26,0.596
k , Test Accuracy
k , Test Accuracy
6,0.633
26,0.587
k , Test Accuracy
k , Test Accuracy
6,0.766
26,0.755
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
