1,0.334
2,0.5
3,0.55
4,0.607
5,0.644
6,0.635
7,0.609
8,0.644
9,0.661
10,0.644
11,0.55
12,0.537
13,0.563
14,0.528
15,0.574
16,0.541
17,0.526
18,0.568
19,0.55
20,0.589
21,0.544
22,0.613
23,0.542
24,0.565
25,0.554
26,0.565
6,0.622
6,0.624
6,0.587
6,0.637
6,0.609
6,0.609
6,0.186
6,0.306
6,0.38
6,0.391
6,0.199
6,0.223
6,0.62
6,0.633
6,0.646
26,0.605
26,0.697
6,0.646
6,0.659
6,0.648
26,0.592
6,0.625
26,0.554
vanilla,0.292
random,0.288
4,0.555
6,0.435
8,0.531
26,0.59
6,0.649
26,0.616
vanilla,0.295
random,0.325
6,0.598
26,0.598
vanilla,0.288
random,0.33
6,0.613
26,0.583
vanilla,0.29
random,0.317
6,0.771
6,0.751
26,0.653
6,0.751
6,0.74
6,0.742
6,0.747
6,0.766
26,0.664
26,0.646
