k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.944
k , Test Accuracy
k , Test Accuracy
6,0.931
k , Test Accuracy
k , Test Accuracy
6,0.877
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.928
k , Test Accuracy
k , Test Accuracy
6,0.908
k , Test Accuracy
k , Test Accuracy
6,0.938
