k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.587
6,0.586
6,0.587
k , Test Accuracy
k , Test Accuracy
6,0.591
6,0.591
k , Test Accuracy
k , Test Accuracy
6,0.602
k , Test Accuracy
k , Test Accuracy
6,0.819
k , Test Accuracy
k , Test Accuracy
6,0.812
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.785
k , Test Accuracy
k , Test Accuracy
6,0.572
k , Test Accuracy
k , Test Accuracy
6,0.736
