k , Test Accuracy
k , Test Accuracy
6,0.5
26,0.362
k , Test Accuracy
k , Test Accuracy
6,0.55
6,0.488
6,0.488
26,0.462
26,0.388
26,0.412
k , Test Accuracy
k , Test Accuracy
6,0.512
k , Test Accuracy
k , Test Accuracy
6,0.55
k , Test Accuracy
k , Test Accuracy
6,0.438
k , Test Accuracy
k , Test Accuracy
6,0.538
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
1,0.475
k , Test Accuracy
k , Test Accuracy
4,0.575
k , Test Accuracy
k , Test Accuracy
2,0.475
k , Test Accuracy
k , Test Accuracy
2,0.375
k , Test Accuracy
k , Test Accuracy
2,0.5
k , Test Accuracy
k , Test Accuracy
2,0.5
k , Test Accuracy
k , Test Accuracy
3,0.475
k , Test Accuracy
k , Test Accuracy
3,0.55
k , Test Accuracy
k , Test Accuracy
3,0.575
k , Test Accuracy
k , Test Accuracy
3,0.538
k , Test Accuracy
k , Test Accuracy
4,0.488
k , Test Accuracy
k , Test Accuracy
3,0.48
k , Test Accuracy
k , Test Accuracy
4,0.488
k , Test Accuracy
k , Test Accuracy
4,0.45
k , Test Accuracy
k , Test Accuracy
4,0.425
