k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
6,0.55
26,0.559
k , Test Accuracy
k , Test Accuracy
6,0.613
6,0.592
6,0.63
26,0.622
26,0.592
26,0.601
k , Test Accuracy
k , Test Accuracy
6,0.55
k , Test Accuracy
k , Test Accuracy
6,0.471
k , Test Accuracy
k , Test Accuracy
6,0.357
k , Test Accuracy
k , Test Accuracy
6,0.597
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
k , Test Accuracy
1,0.618
k , Test Accuracy
k , Test Accuracy
4,0.534
k , Test Accuracy
k , Test Accuracy
2,0.563
k , Test Accuracy
k , Test Accuracy
2,0.597
k , Test Accuracy
k , Test Accuracy
2,0.63
k , Test Accuracy
k , Test Accuracy
2,0.647
k , Test Accuracy
k , Test Accuracy
3,0.592
k , Test Accuracy
k , Test Accuracy
3,0.647
k , Test Accuracy
k , Test Accuracy
3,0.584
k , Test Accuracy
k , Test Accuracy
3,0.534
k , Test Accuracy
k , Test Accuracy
4,0.588
k , Test Accuracy
k , Test Accuracy
3,0.584
k , Test Accuracy
k , Test Accuracy
4,0.567
k , Test Accuracy
k , Test Accuracy
4,0.571
k , Test Accuracy
k , Test Accuracy
4,0.475
