dataset, size, run, model, variant, k, test_acc, train_acc, gc_training_time
CHEMBL230,342,1,GAT,T_K,1,60.19,58.16,0:00:01.734832
CHEMBL230,342,1,GAT,T_K,2,60.19,58.16,0:00:02.689971
CHEMBL230,342,1,GAT,T_K,3,59.22,64.85,0:00:03.562218
CHEMBL230,342,1,GAT,T_K,4,59.22,67.78,0:00:04.438192
CHEMBL230,342,1,GAT,T_K,5,58.25,67.36,0:00:05.314699
CHEMBL230,342,1,GAT,T_K,6,67.96,73.64,0:00:06.188618
CHEMBL230,342,1,GAT,T_K,7,67.96,78.66,0:00:07.136553
CHEMBL230,342,1,GAT,T_K,8,67.96,78.66,0:00:08.079969
CHEMBL230,342,1,GAT,T_K,9,65.05,73.22,0:00:08.961560
CHEMBL230,342,1,GAT,T_K,10,65.05,73.22,0:00:10.004221
CHEMBL230,342,1,GAT,T_K,11,66.02,73.22,0:00:11.007675
CHEMBL230,342,1,GAT,T_K,12,65.05,74.48,0:00:12.147201
CHEMBL230,342,1,GAT,T_K,13,65.05,74.06,0:00:13.196355
CHEMBL230,342,1,GAT,T_K,14,65.05,73.22,0:00:14.072912
CHEMBL230,342,1,GAT,T_K,15,68.93,73.22,0:00:15.112717
CHEMBL230,342,1,GraphSAGE,T_K,1,60.19,58.16,0:00:00.727722
CHEMBL230,342,1,GraphSAGE,T_K,2,55.34,57.74,0:00:01.514827
CHEMBL230,342,1,GraphSAGE,T_K,3,59.22,64.85,0:00:02.219126
CHEMBL230,342,1,GraphSAGE,T_K,4,59.22,67.78,0:00:02.921118
