Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_grid_5000_3150_602.pickle,6,0.92,0.0,1,7,9,10,17,19,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_grid_5000_3150_602.pickle,6,0.736,0.184,0,4,8,10,14,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_grid_5000_3150_602.pickle,6,0.7763333333333332,0.16069916683736174,0,4,12,15,22,25,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_grid_5000_3150_602.pickle,6,0.6439999999999999,0.2681501445086316,8,14,15,19,20,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_grid_5000_3150_602.pickle,6,0.6809999999999998,0.250997211139885,0,6,9,12,13,16,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_house_5000_2850_601.pickle,6,0.6886666666666666,0.22976848251132173,2,3,7,14,21,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_house_5000_2850_601.pickle,6,0.7194285714285714,0.22567540352263035,10,11,14,18,20,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_house_5000_2850_601.pickle,6,0.746375,0.22281378856569897,0,5,16,19,22,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_house_5000_2850_601.pickle,6,0.746,0.2100735320998076,1,2,7,12,24,25,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Erdos_10000_250000_house_5000_2850_601.pickle,6,0.7659,0.20804300036290574,5,11,20,22,23,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_path_2500_3123_603.pickle,6,0.866,0.0,5,8,9,10,16,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_path_2500_3123_603.pickle,6,0.9099999999999999,0.043999999999999984,7,14,19,22,24,25,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_path_2500_3123_603.pickle,6,0.8959999999999999,0.04102032016777374,2,4,7,8,16,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_path_2500_3123_603.pickle,6,0.90775,0.0409412689104771,1,10,12,14,21,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_path_2500_3123_603.pickle,6,0.9168,0.04084801096748774,4,12,16,18,20,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_star_2500_3123_602.pickle,6,0.9295,0.04687127762998003,0,5,12,18,19,22,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_star_2500_3123_602.pickle,6,0.9302857142857144,0.04343702925159686,7,8,10,11,15,21,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_star_2500_3123_602.pickle,6,0.93875,0.046394369270419004,0,5,14,15,19,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_star_2500_3123_602.pickle,6,0.9453333333333332,0.04753945729601885,5,6,14,15,17,25,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_star_2500_3123_602.pickle,6,0.9440999999999999,0.045251408817847866,5,8,13,20,23,25,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_house_2500_3173_601.pickle,6,0.9414545454545453,0.04394906894528056,3,7,11,12,14,25,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_house_2500_3173_601.pickle,6,0.9400833333333333,0.04232307946682939,1,3,16,18,20,24,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_house_2500_3173_601.pickle,6,0.8725384615384614,0.23748930838594215,3,7,8,13,15,25,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_house_2500_3173_601.pickle,6,0.8674999999999998,0.22957032847100628,1,5,8,9,10,11,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Barabasi_25000_12_house_2500_3173_601.pickle,6,0.8743333333333332,0.22325491160455024,0,7,10,11,21,23,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Cora,6,0.622,0.0,0,3,4,6,10,21,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
Cora,6,0.623,0.0010000000000000009,2,5,6,7,15,19,
Graph, k , Avg Test Accuracy, Std Test Accuracy, k features
